Latitude (decimal degrees): 43.368
Longitude (decimal degrees): -8.402
Elevation (m): 8.0
month,year
12,009
22,015
32,012
42,007
52,012
62,012
72,007
82,013
92,013
102,015
112,014
122,014
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20090101:0000,9.33,88.44,0.0,-0.0,0.0,274.5,3.03,174.0,101584.0
20090101:0100,9.36,89.54,0.0,-0.0,0.0,282.69,3.26,173.0,101614.0
20090101:0200,9.39,90.64,0.0,-0.0,0.0,290.89,3.49,172.0,101644.0
20090101:0300,9.42,91.73,0.0,-0.0,0.0,299.08,3.73,171.0,101647.0
20090101:0400,9.45,92.83,0.0,-0.0,0.0,307.27,3.96,170.0,101650.0
20090101:0500,9.48,93.93,0.0,-0.0,0.0,315.46,4.2,168.0,101654.0
20090101:0600,9.51,95.03,0.0,-0.0,0.0,323.65,4.43,167.0,101684.0
20090101:0700,9.54,96.13,0.0,-0.0,0.0,331.85,4.66,166.0,101713.0
20090101:0800,9.94,92.78,0.0,-0.0,0.0,317.75,3.94,165.0,101743.0
20090101:0900,10.96,91.76,47.0,6.81,46.0,324.05,4.43,169.0,101760.0
20090101:1000,11.99,90.73,30.0,0.0,30.0,330.35,4.91,174.0,101777.0
20090101:1100,13.01,89.71,30.0,0.0,30.0,336.65,5.39,179.0,101793.0
20090101:1200,13.04,90.2,305.0,312.95,181.0,341.97,5.22,181.0,101770.0
20090101:1300,13.07,90.69,62.0,0.0,62.0,347.28,5.05,184.0,101747.0
20090101:1400,13.1,91.18,290.0,448.13,135.0,352.6,4.88,186.0,101723.0
20090101:1500,12.43,92.32,37.0,0.0,37.0,349.45,4.46,184.0,101750.0
20090101:1600,11.77,93.46,101.0,496.41,36.0,346.3,4.05,182.0,101777.0
20090101:1700,11.1,94.6,0.0,-0.0,0.0,343.15,3.63,180.0,101803.0
20090101:1800,10.72,94.69,0.0,-0.0,0.0,344.43,3.38,177.0,101807.0
20090101:1900,10.35,94.78,0.0,-0.0,0.0,345.72,3.14,173.0,101810.0
20090101:2000,9.98,94.87,0.0,-0.0,0.0,347.0,2.9,170.0,101813.0
20090101:2100,9.82,95.12,0.0,-0.0,0.0,342.38,2.71,170.0,101797.0
20090101:2200,9.66,95.38,0.0,-0.0,0.0,337.77,2.53,169.0,101780.0
20090101:2300,9.51,95.63,0.0,-0.0,0.0,333.15,2.34,169.0,101763.0
20090102:0000,9.48,96.43,0.0,-0.0,0.0,327.47,2.33,166.0,101743.0
20090102:0100,9.46,97.23,0.0,-0.0,0.0,321.78,2.32,164.0,101723.0
20090102:0200,9.44,98.03,0.0,-0.0,0.0,316.1,2.3,161.0,101703.0
20090102:0300,9.35,98.55,0.0,-0.0,0.0,323.22,2.26,159.0,101693.0
20090102:0400,9.27,99.08,0.0,-0.0,0.0,330.33,2.22,158.0,101684.0
20090102:0500,9.18,99.6,0.0,-0.0,0.0,337.45,2.18,156.0,101674.0
20090102:0600,9.26,99.73,0.0,-0.0,0.0,340.18,2.22,154.0,101687.0
20090102:0700,9.35,99.87,0.0,-0.0,0.0,342.92,2.26,152.0,101700.0
20090102:0800,9.43,100.0,0.0,-0.0,0.0,345.65,2.3,150.0,101713.0
20090102:0900,10.53,97.94,78.8,193.51,50.35,347.95,2.68,152.0,101710.0
20090102:1000,11.63,95.88,217.0,420.09,104.0,350.25,3.06,155.0,101707.0
20090102:1100,12.73,93.82,231.3,313.34,120.25,352.55,3.43,157.0,101703.0
20090102:1200,12.93,92.09,160.0,12.58,155.0,353.7,3.46,154.0,101634.0
20090102:1300,13.12,90.36,269.9,329.61,139.65,354.85,3.48,150.0,101564.0
20090102:1400,13.31,88.63,48.0,0.0,48.0,356.0,3.5,147.0,101494.0
