Latitude (decimal degrees): 19.432
Longitude (decimal degrees): -99.133
Elevation (m): 2251.0
month,year
12,008
22,009
32,008
42,012
52,007
62,012
72,014
82,014
92,008
102,008
112,012
122,013
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20080101:0000,14.16,65.91,0.0,0.0,0.0,337.18,1.92,58.0,77385.0
20080101:0100,13.49,66.52,0.0,-0.0,0.0,335.64,1.97,57.0,77466.0
20080101:0200,12.82,67.13,0.0,-0.0,0.0,334.09,2.01,56.0,77547.0
20080101:0300,12.15,67.74,0.0,-0.0,0.0,332.55,2.05,57.0,77608.0
20080101:0400,11.48,68.35,0.0,-0.0,0.0,331.01,2.09,58.0,77669.0
20080101:0500,10.81,68.95,0.0,-0.0,0.0,329.47,2.14,58.0,77729.0
20080101:0600,10.14,69.56,0.0,-0.0,0.0,327.93,2.18,54.0,77742.0
20080101:0700,9.47,70.17,0.0,-0.0,0.0,326.38,2.22,49.0,77755.0
20080101:0800,8.64,83.73,0.0,-0.0,0.0,325.85,2.34,45.0,77767.0
20080101:0900,8.56,87.22,0.0,-0.0,0.0,325.55,2.61,42.0,77821.0
20080101:1000,8.49,90.71,0.0,-0.0,0.0,325.25,2.87,39.0,77874.0
20080101:1100,8.41,94.2,0.0,-0.0,0.0,324.95,3.13,36.0,77927.0
20080101:1200,9.32,92.34,0.0,-0.0,0.0,329.75,3.42,36.0,78001.0
20080101:1300,10.22,90.48,0.0,-0.0,0.0,334.55,3.71,36.0,78074.0
20080101:1400,11.13,88.62,121.0,269.4,76.0,339.35,4.0,36.0,78148.0
20080101:1500,13.29,77.86,341.0,540.75,142.0,338.53,4.58,39.0,78127.0
20080101:1600,15.45,67.09,541.0,676.6,179.0,337.72,5.16,42.0,78107.0
20080101:1700,17.61,56.33,688.0,741.55,201.0,336.9,5.74,46.0,78087.0
20080101:1800,17.89,60.43,769.0,768.46,212.0,338.03,6.17,43.0,78036.0
