Latitude (decimal degrees): 28.130
Longitude (decimal degrees): -15.440
Elevation (m): 44.0
month,year
12,012
22,015
32,008
42,016
52,008
62,015
72,009
82,007
92,015
102,016
112,016
122,008
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20120101:0000,18.12,81.87,0.0,-0.0,0.0,343.57,6.01,36.0,102467.0
20120101:0100,17.86,80.67,0.0,-0.0,0.0,335.27,5.67,38.0,102460.0
20120101:0200,17.59,79.48,0.0,-0.0,0.0,326.96,5.33,40.0,102454.0
20120101:0300,17.33,78.28,0.0,-0.0,0.0,318.66,4.99,41.0,102431.0
20120101:0400,17.06,77.09,0.0,-0.0,0.0,310.35,4.65,43.0,102407.0
20120101:0500,16.8,75.89,0.0,-0.0,0.0,302.05,4.31,44.0,102384.0
20120101:0600,16.53,74.7,0.0,-0.0,0.0,293.74,3.98,44.0,102414.0
20120101:0700,16.27,73.5,0.0,-0.0,0.0,285.44,3.64,45.0,102444.0
20120101:0800,16.37,77.02,11.0,0.0,11.0,304.8,4.37,46.0,102474.0
20120101:0900,16.75,74.82,135.0,124.12,106.0,304.73,4.68,47.0,102487.0
20120101:1000,17.14,72.63,339.0,448.06,160.0,304.67,4.98,47.0,102500.0
20120101:1100,17.52,70.43,431.0,359.6,242.0,304.6,5.28,47.0,102514.0
20120101:1200,17.68,72.99,240.0,6.63,236.0,307.6,5.37,46.0,102464.0
20120101:1300,17.83,75.54,495.0,293.31,311.0,310.6,5.46,44.0,102414.0
20120101:1400,17.99,78.1,283.0,26.84,267.0,313.6,5.54,43.0,102364.0
20120101:1500,17.9,78.4,459.0,510.19,198.0,313.73,5.53,40.0,102388.0
20120101:1600,17.82,78.7,167.0,23.7,158.0,313.87,5.51,38.0,102411.0
20120101:1700,17.74,79.0,108.0,85.96,90.0,314.0,5.49,36.0,102434.0
20120101:1800,17.59,78.98,0.0,0.0,0.0,311.03,5.71,36.0,102484.0
20120101:1900,17.45,78.95,0.0,-0.0,0.0,308.07,5.93,37.0,102533.0
20120101:2000,17.31,78.93,0.0,-0.0,0.0,305.1,6.15,37.0,102583.0
20120101:2100,17.26,77.92,0.0,-0.0,0.0,305.85,6.36,40.0,102570.0
20120101:2200,17.2,76.91,0.0,-0.0,0.0,306.6,6.57,43.0,102557.0
20120101:2300,17.15,75.9,0.0,-0.0,0.0,307.35,6.77,46.0,102543.0
20120102:0000,17.15,74.5,0.0,-0.0,0.0,308.43,6.71,47.0,102507.0
20120102:0100,17.15,73.1,0.0,-0.0,0.0,309.52,6.64,47.0,102470.0
20120102:0200,17.15,71.7,0.0,-0.0,0.0,310.6,6.58,48.0,102434.0
20120102:0300,17.12,71.56,0.0,-0.0,0.0,310.88,6.47,49.0,102424.0
20120102:0400,17.09,71.42,0.0,-0.0,0.0,311.17,6.36,50.0,102414.0
20120102:0500,17.07,71.28,0.0,-0.0,0.0,311.45,6.25,51.0,102404.0
20120102:0600,17.18,70.34,0.0,-0.0,0.0,311.05,6.55,52.0,102447.0
20120102:0700,17.28,69.41,0.0,-0.0,0.0,310.65,6.86,54.0,102490.0
20120102:0800,17.39,68.47,0.0,0.0,0.0,310.25,7.16,55.0,102533.0
20120102:0900,17.88,68.89,106.0,38.59,97.0,309.28,6.99,56.0,102540.0
20120102:1000,18.38,69.3,115.0,0.0,115.0,308.32,6.82,57.0,102547.0
20120102:1100,18.87,69.72,459.0,454.45,220.0,307.35,6.65,58.0,102553.0
20120102:1200,18.85,69.36,613.0,744.97,163.0,307.22,6.36,55.0,102480.0
20120102:1300,18.82,69.0,534.0,391.41,288.0,307.08,6.07,52.0,102407.0
20120102:1400,18.8,68.64,624.0,824.95,131.0,306.95,5.78,50.0,102334.0
20120102:1500,18.8,69.51,518.0,767.31,124.0,307.6,6.04,49.0,102341.0
20120102:1600,18.8,70.37,287.0,293.31,175.0,308.25,6.29,49.0,102348.0
20120102:1700,18.81,71.24,151.0,307.08,86.0,308.9,6.55,49.0,102354.0
20120102:1800,18.72,72.1,0.0,0.0,0.0,309.58,6.84,50.0,102378.0
20120102:1900,18.63,72.95,0.0,-0.0,0.0,310.27,7.12,51.0,102401.0
20120102:2000,18.54,73.81,0.0,-0.0,0.0,310.95,7.41,52.0,102424.0
20120102:2100,18.45,74.88,0.0,-0.0,0.0,311.55,7.35,53.0,102407.0
20120102:2200,18.35,75.96,0.0,-0.0,0.0,312.15,7.3,54.0,102391.0
20120102:2300,18.26,77.03,0.0,-0.0,0.0,312.75,7.24,56.0,102374.0
20120103:0000,18.17,77.05,0.0,-0.0,0.0,311.7,7.02,56.0,102344.0
20120103:0100,18.08,77.07,0.0,-0.0,0.0,310.65,6.8,55.0,102315.0
20120103:0200,18.0,77.09,0.0,-0.0,0.0,309.6,6.58,55.0,102285.0
20120103:0300,17.93,77.1,0.0,-0.0,0.0,309.25,6.67,55.0,102248.0
20120103:0400,17.87,77.12,0.0,-0.0,0.0,308.9,6.76,56.0,102212.0
20120103:0500,17.81,77.13,0.0,-0.0,0.0,308.55,6.86,57.0,102175.0
20120103:0600,17.89,76.93,0.0,-0.0,0.0,311.18,6.41,61.0,102199.0
20120103:0700,17.98,76.74,0.0,-0.0,0.0,313.82,5.96,65.0,102222.0
20120103:0800,18.06,76.54,0.0,0.0,0.0,316.45,5.52,69.0,102245.0
20120103:0900,18.55,75.76,129.0,103.07,105.0,318.6,5.13,72.0,102255.0
20120103:1000,19.04,74.99,145.0,5.01,143.0,320.75,4.74,76.0,102265.0
20120103:1100,19.53,74.21,314.0,96.89,263.0,322.9,4.36,80.0,102275.0
20120103:1200,19.44,73.9,444.0,223.17,309.0,322.85,4.23,75.0,102215.0
20120103:1300,19.35,73.6,556.0,450.94,272.0,322.8,4.1,71.0,102155.0
20120103:1400,19.27,73.29,616.0,782.6,147.0,322.75,3.97,66.0,102096.0
20120103:1500,19.35,73.46,529.0,810.9,111.0,318.9,3.43,63.0,102082.0
20120103:1600,19.43,73.62,373.0,734.25,91.0,315.05,2.88,59.0,102069.0
20120103:1700,19.51,73.79,176.0,509.3,67.0,311.2,2.33,56.0,102056.0
20120103:1800,19.56,73.56,0.0,0.0,0.0,309.0,2.41,55.0,102089.0
20120103:1900,19.61,73.33,0.0,-0.0,0.0,306.8,2.49,55.0,102122.0
20120103:2000,19.66,73.1,0.0,-0.0,0.0,304.6,2.57,55.0,102155.0
20120103:2100,19.75,72.16,0.0,-0.0,0.0,303.98,3.05,58.0,102159.0
20120103:2200,19.84,71.21,0.0,-0.0,0.0,303.37,3.53,62.0,102162.0
20120103:2300,19.93,70.27,0.0,-0.0,0.0,302.75,4.01,65.0,102165.0
20120104:0000,19.74,70.79,0.0,-0.0,0.0,302.65,4.47,65.0,102155.0
20120104:0100,19.55,71.31,0.0,-0.0,0.0,302.55,4.93,64.0,102145.0
20120104:0200,19.37,71.83,0.0,-0.0,0.0,302.45,5.39,63.0,102136.0
20120104:0300,19.35,71.64,0.0,-0.0,0.0,302.4,5.56,67.0,102119.0
