Latitude (decimal degrees): -12.043
Longitude (decimal degrees): -77.028
Elevation (m): 159.0
month,year
12,015
22,012
32,014
42,006
52,014
62,010
72,006
82,015
92,010
102,014
112,012
122,014
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,20.11,99.66,0.0,-0.0,0.0,346.29,3.11,71.0,99281.0
20150101:0100,19.87,99.7,0.0,-0.0,0.0,346.76,2.86,71.0,99333.0
20150101:0200,19.62,99.74,0.0,-0.0,0.0,347.22,2.61,71.0,99385.0
20150101:0300,19.37,99.78,0.0,-0.0,0.0,347.68,2.36,69.0,99349.0
20150101:0400,19.13,99.83,0.0,-0.0,0.0,348.14,2.12,67.0,99313.0
20150101:0500,18.88,99.87,0.0,-0.0,0.0,348.6,1.87,65.0,99277.0
20150101:0600,18.64,99.91,0.0,-0.0,0.0,349.06,1.62,65.0,99235.0
20150101:0700,18.39,99.95,0.0,-0.0,0.0,349.52,1.37,66.0,99192.0
20150101:0800,18.57,100.0,0.0,-0.0,0.0,346.55,0.73,67.0,99150.0
20150101:0900,18.64,100.0,0.0,-0.0,0.0,346.52,0.68,68.0,99176.0
20150101:1000,18.72,100.0,0.0,-0.0,0.0,346.48,0.62,69.0,99202.0
20150101:1100,18.79,100.0,14.0,0.0,14.0,346.45,0.57,69.0,99228.0
20150101:1200,19.56,100.0,207.0,439.86,88.0,346.13,1.21,121.0,99281.0
20150101:1300,20.33,100.0,446.0,650.55,126.0,345.82,1.86,172.0,99333.0
20150101:1400,21.1,100.0,670.0,760.27,149.0,345.5,2.51,224.0,99385.0
20150101:1500,21.39,100.0,246.0,10.75,237.0,343.72,3.03,218.0,99330.0
20150101:1600,21.68,100.0,224.0,9.59,215.0,341.93,3.56,212.0,99274.0
20150101:1700,21.98,100.0,396.0,23.45,373.0,340.15,4.08,206.0,99218.0
20150101:1800,21.82,99.53,313.0,15.6,298.0,341.62,4.34,201.0,99179.0
20150101:1900,21.66,99.05,430.0,40.78,394.0,343.08,4.59,197.0,99140.0
20150101:2000,21.51,98.58,326.0,29.36,304.0,344.55,4.84,193.0,99101.0
20150101:2100,21.0,99.03,230.0,21.04,218.0,345.92,4.63,177.0,99130.0
20150101:2200,20.5,99.47,300.0,541.97,106.0,347.28,4.41,162.0,99160.0
20150101:2300,19.99,99.92,77.0,220.82,49.0,348.65,4.19,146.0,99189.0
20150102:0000,19.75,99.95,0.0,-0.0,0.0,351.17,3.82,127.0,99268.0
20150102:0100,19.5,99.97,0.0,-0.0,0.0,353.68,3.45,108.0,99346.0
20150102:0200,19.26,100.0,0.0,-0.0,0.0,356.2,3.08,88.0,99425.0
20150102:0300,19.1,100.0,0.0,-0.0,0.0,354.68,2.68,85.0,99385.0
20150102:0400,18.94,100.0,0.0,-0.0,0.0,353.17,2.29,81.0,99346.0
20150102:0500,18.78,100.0,0.0,-0.0,0.0,351.65,1.89,77.0,99307.0
20150102:0600,18.71,100.0,0.0,-0.0,0.0,350.77,1.84,75.0,99254.0
20150102:0700,18.65,100.0,0.0,-0.0,0.0,349.88,1.79,72.0,99202.0
20150102:0800,18.59,100.0,0.0,-0.0,0.0,349.0,1.74,69.0,99150.0
20150102:0900,18.69,100.0,0.0,-0.0,0.0,349.75,1.66,70.0,99176.0
20150102:1000,18.8,100.0,0.0,-0.0,0.0,350.5,1.57,70.0,99202.0
20150102:1100,18.91,100.0,13.0,0.0,13.0,351.25,1.49,70.0,99228.0
20150102:1200,19.69,100.0,205.0,435.5,88.0,349.5,2.32,117.0,99271.0
20150102:1300,20.47,100.0,103.0,0.0,103.0,347.75,3.15,164.0,99313.0
20150102:1400,21.25,100.0,270.0,20.47,256.0,346.0,3.99,210.0,99356.0
20150102:1500,21.58,100.0,576.0,168.51,435.0,343.07,4.4,209.0,99307.0
20150102:1600,21.91,100.0,976.0,855.04,174.0,340.13,4.8,208.0,99258.0
20150102:1700,22.25,100.0,1028.0,867.66,177.0,337.2,5.21,208.0,99209.0
20150102:1800,22.08,100.0,1006.0,862.5,176.0,338.18,5.21,203.0,99179.0
20150102:1900,21.92,100.0,910.0,838.43,169.0,339.17,5.21,199.0,99150.0
20150102:2000,21.76,100.0,750.0,790.05,157.0,340.15,5.21,195.0,99120.0
20150102:2100,21.23,100.0,540.0,703.09,138.0,342.33,4.89,179.0,99146.0
20150102:2200,20.69,100.0,302.0,542.41,107.0,344.52,4.57,163.0,99173.0
20150102:2300,20.16,100.0,78.0,218.25,50.0,346.7,4.25,146.0,99199.0
20150103:0000,19.9,100.0,0.0,-0.0,0.0,349.62,4.12,126.0,99251.0
20150103:0100,19.64,100.0,0.0,-0.0,0.0,352.53,4.0,106.0,99303.0
20150103:0200,19.38,100.0,0.0,-0.0,0.0,355.45,3.88,86.0,99356.0
20150103:0300,19.17,100.0,0.0,-0.0,0.0,356.17,3.79,83.0,99310.0
20150103:0400,18.96,100.0,0.0,-0.0,0.0,356.88,3.71,80.0,99264.0
20150103:0500,18.75,100.0,0.0,-0.0,0.0,357.6,3.63,78.0,99218.0
20150103:0600,18.68,100.0,0.0,-0.0,0.0,358.03,3.55,78.0,99166.0
20150103:0700,18.61,100.0,0.0,-0.0,0.0,358.47,3.47,77.0,99114.0
20150103:0800,18.54,100.0,0.0,-0.0,0.0,358.9,3.39,77.0,99061.0
20150103:0900,18.62,100.0,0.0,-0.0,0.0,358.13,3.45,74.0,99120.0
20150103:1000,18.71,100.0,0.0,-0.0,0.0,357.37,3.5,72.0,99179.0
20150103:1100,18.79,100.0,11.0,0.0,11.0,356.6,3.56,69.0,99238.0
20150103:1200,19.62,100.0,164.0,239.91,100.0,357.68,3.71,107.0,99264.0
20150103:1300,20.44,100.0,444.0,646.58,128.0,358.77,3.87,145.0,99290.0
20150103:1400,21.27,100.0,413.0,118.61,332.0,359.85,4.03,184.0,99317.0
20150103:1500,21.57,100.0,852.0,819.35,167.0,356.22,4.54,190.0,99277.0
20150103:1600,21.88,100.0,976.0,854.21,175.0,352.58,5.06,196.0,99238.0
20150103:1700,22.19,100.0,1029.0,866.45,179.0,348.95,5.57,202.0,99199.0
20150103:1800,22.06,99.74,1007.0,861.92,177.0,351.8,5.55,199.0,99163.0
20150103:1900,21.93,99.47,911.0,836.33,171.0,354.65,5.53,197.0,99127.0
20150103:2000,21.81,99.21,751.0,787.35,159.0,357.5,5.5,194.0,99091.0
20150103:2100,21.27,99.47,540.0,699.53,139.0,360.62,5.18,183.0,99117.0
20150103:2200,20.72,99.74,207.0,149.57,153.0,363.73,4.85,172.0,99143.0
20150103:2300,20.18,100.0,66.0,115.61,51.0,366.85,4.52,161.0,99169.0
20150104:0000,19.99,100.0,0.0,-0.0,0.0,365.8,4.17,136.0,99212.0
20150104:0100,19.79,100.0,0.0,-0.0,0.0,364.75,3.83,111.0,99254.0
20150104:0200,19.6,100.0,0.0,-0.0,0.0,363.7,3.48,86.0,99297.0
20150104:0300,19.49,100.0,0.0,-0.0,0.0,361.35,3.35,81.0,99248.0
20150104:0400,19.38,100.0,0.0,-0.0,0.0,359.0,3.22,76.0,99199.0
20150104:0500,19.28,100.0,0.0,-0.0,0.0,356.65,3.09,72.0,99150.0
20150104:0600,19.22,100.0,0.0,-0.0,0.0,356.32,2.89,70.0,99124.0
20150104:0700,19.17,100.0,0.0,-0.0,0.0,355.98,2.69,68.0,99097.0
20150104:0800,19.12,100.0,0.0,-0.0,0.0,355.65,2.5,66.0,99071.0
20150104:0900,19.18,100.0,0.0,-0.0,0.0,355.73,2.54,65.0,99133.0
20150104:1000,19.25,100.0,0.0,-0.0,0.0,355.82,2.59,64.0,99196.0
20150104:1100,19.31,100.0,11.0,0.0,11.0,355.9,2.63,63.0,99258.0
20150104:1200,19.98,100.0,25.0,0.0,25.0,358.45,3.18,106.0,99310.0
20150104:1300,20.65,100.0,148.0,0.0,148.0,361.0,3.72,148.0,99362.0
