Latitude (decimal degrees): 40.420
Longitude (decimal degrees): -3.692
Elevation (m): 666.0
month,year
12,010
22,008
32,012
42,011
52,007
62,016
72,012
82,015
92,007
102,015
112,016
122,010
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20100101:0000,4.1,94.83,0.0,-0.0,0.0,305.92,4.18,262.0,93051.0
20100101:0100,3.82,93.92,0.0,-0.0,0.0,303.1,4.69,262.0,93076.0
20100101:0200,3.53,93.01,0.0,-0.0,0.0,300.27,5.2,262.0,93100.0
20100101:0300,3.25,92.09,0.0,-0.0,0.0,297.45,5.71,259.0,93110.0
20100101:0400,2.97,91.18,0.0,-0.0,0.0,294.63,6.23,257.0,93119.0
20100101:0500,2.68,90.27,0.0,-0.0,0.0,291.81,6.74,254.0,93128.0
20100101:0600,2.4,89.36,0.0,-0.0,0.0,288.99,7.25,254.0,93177.0
20100101:0700,2.11,88.44,0.0,-0.0,0.0,286.16,7.76,253.0,93226.0
20100101:0800,4.14,89.54,28.0,0.0,28.0,289.65,9.12,252.0,93276.0
20100101:0900,4.9,89.75,104.0,44.53,94.0,288.65,9.92,255.0,93307.0
20100101:1000,5.66,89.95,285.0,439.99,135.0,287.65,10.72,257.0,93337.0
20100101:1100,6.43,90.16,163.0,7.2,160.0,286.65,11.52,259.0,93368.0
20100101:1200,6.72,87.46,175.0,6.71,172.0,289.4,10.08,262.0,93380.0
20100101:1300,7.02,84.76,297.0,195.66,213.0,292.15,8.65,265.0,93393.0
20100101:1400,7.31,82.06,304.0,427.16,148.0,294.9,7.21,268.0,93405.0
20100101:1500,6.74,83.2,205.0,405.5,100.0,291.27,5.85,268.0,93491.0
20100101:1600,6.18,84.33,85.0,433.08,34.0,287.63,4.49,267.0,93577.0
20100101:1700,5.61,85.47,0.0,-0.0,0.0,284.0,3.13,267.0,93664.0
20100101:1800,5.21,87.63,0.0,-0.0,0.0,279.8,2.88,267.0,93759.0
20100101:1900,4.8,89.8,0.0,-0.0,0.0,275.6,2.63,267.0,93854.0
20100101:2000,4.4,91.96,0.0,-0.0,0.0,271.4,2.37,266.0,93950.0
20100101:2100,4.36,92.86,0.0,-0.0,0.0,272.53,2.34,266.0,93999.0
20100101:2200,4.33,93.75,0.0,-0.0,0.0,273.67,2.32,266.0,94048.0
20100101:2300,4.29,94.65,0.0,-0.0,0.0,274.8,2.29,265.0,94098.0
20100102:0000,4.17,93.78,0.0,-0.0,0.0,278.77,2.41,268.0,94119.0
20100102:0100,4.06,92.92,0.0,-0.0,0.0,282.73,2.53,271.0,94141.0
20100102:0200,3.94,92.05,0.0,-0.0,0.0,286.7,2.65,274.0,94162.0
20100102:0300,3.67,92.99,0.0,-0.0,0.0,287.75,2.57,271.0,94193.0
20100102:0400,3.41,93.92,0.0,-0.0,0.0,288.8,2.49,269.0,94224.0
20100102:0500,3.15,94.86,0.0,-0.0,0.0,289.85,2.41,267.0,94255.0
20100102:0600,3.56,95.39,0.0,-0.0,0.0,288.22,2.14,263.0,94304.0
20100102:0700,3.98,95.91,0.0,-0.0,0.0,286.58,1.87,259.0,94353.0
20100102:0800,4.39,96.44,23.0,0.0,23.0,284.95,1.6,254.0,94402.0
20100102:0900,5.51,90.36,128.0,115.66,102.0,283.25,1.87,260.0,94421.0
20100102:1000,6.63,84.29,250.0,266.5,159.0,281.55,2.13,266.0,94439.0
20100102:1100,7.76,78.21,213.0,45.49,194.0,279.85,2.4,272.0,94458.0
20100102:1200,7.95,77.47,256.0,80.33,220.0,277.78,2.55,269.0,94390.0
20100102:1300,8.14,76.73,170.0,6.96,167.0,275.72,2.7,266.0,94322.0
20100102:1400,8.33,75.99,120.0,2.72,119.0,273.65,2.86,263.0,94255.0
20100102:1500,7.07,81.15,60.0,0.0,60.0,269.9,2.58,234.0,94264.0
20100102:1600,5.81,86.3,54.0,66.64,46.0,266.15,2.31,205.0,94273.0
20100102:1700,4.55,91.46,0.0,-0.0,0.0,262.4,2.04,176.0,94282.0
20100102:1800,3.87,93.18,0.0,-0.0,0.0,262.7,2.16,166.0,94307.0
20100102:1900,3.19,94.9,0.0,-0.0,0.0,263.0,2.28,156.0,94332.0
20100102:2000,2.51,96.62,0.0,-0.0,0.0,263.3,2.4,146.0,94356.0
20100102:2100,2.38,97.09,0.0,-0.0,0.0,263.17,2.39,140.0,94350.0
20100102:2200,2.25,97.57,0.0,-0.0,0.0,263.03,2.38,135.0,94344.0
20100102:2300,2.12,98.04,0.0,-0.0,0.0,262.9,2.37,129.0,94338.0
20100103:0000,1.94,97.02,0.0,-0.0,0.0,260.83,2.25,135.0,94289.0
20100103:0100,1.75,96.01,0.0,-0.0,0.0,258.77,2.13,141.0,94239.0
20100103:0200,1.57,94.99,0.0,-0.0,0.0,256.7,2.01,147.0,94190.0
20100103:0300,1.59,94.55,0.0,-0.0,0.0,258.67,1.97,153.0,94162.0
20100103:0400,1.61,94.1,0.0,-0.0,0.0,260.63,1.93,159.0,94135.0
20100103:0500,1.63,93.66,0.0,-0.0,0.0,262.6,1.89,165.0,94107.0
20100103:0600,2.41,92.55,0.0,-0.0,0.0,265.33,1.85,169.0,94098.0
20100103:0700,3.18,91.43,0.0,-0.0,0.0,268.07,1.82,173.0,94088.0
20100103:0800,3.96,90.32,27.0,0.0,27.0,270.8,1.78,178.0,94079.0
20100103:0900,5.48,88.86,55.0,0.0,55.0,274.88,1.87,189.0,94055.0
20100103:1000,7.0,87.41,226.0,175.37,166.0,278.97,1.96,201.0,94030.0
20100103:1100,8.52,85.95,132.0,0.0,132.0,283.05,2.06,213.0,94005.0
20100103:1200,8.1,88.21,153.0,2.22,152.0,291.98,2.15,221.0,93984.0
20100103:1300,7.67,90.48,134.0,0.0,134.0,300.92,2.24,229.0,93962.0
20100103:1400,7.25,92.74,54.0,0.0,54.0,309.85,2.33,238.0,93941.0
20100103:1500,6.96,93.18,55.0,0.0,55.0,319.58,2.06,235.0,93919.0
20100103:1600,6.68,93.63,49.0,40.84,44.0,329.32,1.78,232.0,93898.0
20100103:1700,6.39,94.07,0.0,-0.0,0.0,339.05,1.5,230.0,93876.0
20100103:1800,6.46,93.86,0.0,-0.0,0.0,338.78,1.28,225.0,93867.0
20100103:1900,6.53,93.64,0.0,-0.0,0.0,338.52,1.05,221.0,93858.0
20100103:2000,6.6,93.43,0.0,-0.0,0.0,338.25,0.83,216.0,93848.0
20100103:2100,6.77,94.16,0.0,-0.0,0.0,342.38,0.92,208.0,93802.0
20100103:2200,6.94,94.9,0.0,-0.0,0.0,346.52,1.02,199.0,93756.0
20100103:2300,7.1,95.63,0.0,-0.0,0.0,350.65,1.12,191.0,93710.0
20100104:0000,6.98,94.95,0.0,-0.0,0.0,350.92,1.2,177.0,93673.0
20100104:0100,6.87,94.26,0.0,-0.0,0.0,351.18,1.29,163.0,93636.0
20100104:0200,6.75,93.58,0.0,-0.0,0.0,351.45,1.38,149.0,93599.0
20100104:0300,6.81,94.07,0.0,-0.0,0.0,350.23,1.61,144.0,93540.0
20100104:0400,6.87,94.57,0.0,-0.0,0.0,349.02,1.84,139.0,93482.0
20100104:0500,6.93,95.06,0.0,-0.0,0.0,347.8,2.07,134.0,93424.0
20100104:0600,7.3,95.12,0.0,-0.0,0.0,341.43,2.26,136.0,93380.0
20100104:0700,7.68,95.17,0.0,-0.0,0.0,335.07,2.46,138.0,93337.0
20100104:0800,8.05,95.23,24.0,0.0,24.0,328.7,2.65,140.0,93294.0
20100104:0900,8.38,94.74,83.0,8.87,81.0,332.92,3.33,147.0,93214.0
20100104:1000,8.71,94.25,134.0,8.75,131.0,337.13,4.01,154.0,93134.0
20100104:1100,9.04,93.76,92.0,0.0,92.0,341.35,4.69,161.0,93054.0
20100104:1200,8.9,94.51,110.0,0.0,110.0,338.73,4.37,172.0,92934.0
20100104:1300,8.76,95.25,103.0,0.0,103.0,336.12,4.05,184.0,92814.0
20100104:1400,8.62,96.0,33.0,0.0,33.0,333.5,3.72,195.0,92694.0
20100104:1500,8.38,95.67,22.0,0.0,22.0,329.45,3.1,201.0,92654.0
20100104:1600,8.15,95.35,39.0,8.01,38.0,325.4,2.47,207.0,92614.0
20100104:1700,7.91,95.02,0.0,-0.0,0.0,321.35,1.85,213.0,92574.0
20100104:1800,7.87,94.97,0.0,-0.0,0.0,324.72,1.87,211.0,92571.0
20100104:1900,7.82,94.93,0.0,-0.0,0.0,328.08,1.89,209.0,92568.0
20100104:2000,7.78,94.88,0.0,-0.0,0.0,331.45,1.9,207.0,92565.0
20100104:2100,7.9,95.13,0.0,-0.0,0.0,335.33,1.71,203.0,92525.0
20100104:2200,8.02,95.37,0.0,-0.0,0.0,339.22,1.53,199.0,92485.0
20100104:2300,8.13,95.62,0.0,-0.0,0.0,343.1,1.34,195.0,92445.0
20100105:0000,7.96,94.09,0.0,-0.0,0.0,344.22,1.05,191.0,92411.0
20100105:0100,7.8,92.56,0.0,-0.0,0.0,345.33,0.77,187.0,92377.0
20100105:0200,7.63,91.03,0.0,-0.0,0.0,346.45,0.48,182.0,92343.0
20100105:0300,7.6,91.25,0.0,-0.0,0.0,346.7,0.7,201.0,92328.0
20100105:0400,7.57,91.46,0.0,-0.0,0.0,346.95,0.92,220.0,92312.0
20100105:0500,7.55,91.68,0.0,-0.0,0.0,347.2,1.14,239.0,92297.0
20100105:0600,7.69,91.95,0.0,-0.0,0.0,344.57,1.49,252.0,92343.0
20100105:0700,7.83,92.21,0.0,-0.0,0.0,341.93,1.83,264.0,92389.0
20100105:0800,7.97,92.48,24.0,0.0,24.0,339.3,2.18,277.0,92435.0
20100105:0900,8.46,90.78,94.0,22.12,89.0,335.28,2.11,288.0,92475.0
20100105:1000,8.95,89.09,158.0,29.09,148.0,331.27,2.03,299.0,92515.0
20100105:1100,9.44,87.39,104.0,0.0,104.0,327.25,1.96,310.0,92555.0
20100105:1200,9.38,86.89,185.0,11.04,180.0,321.0,2.33,306.0,92549.0
20100105:1300,9.33,86.39,196.0,20.62,187.0,314.75,2.7,301.0,92543.0
20100105:1400,9.27,85.89,157.0,16.06,151.0,308.5,3.08,296.0,92537.0
20100105:1500,8.51,87.35,93.0,3.73,92.0,308.07,2.76,296.0,92571.0
20100105:1600,7.76,88.81,69.0,141.25,51.0,307.63,2.44,296.0,92605.0
20100105:1700,7.0,90.27,0.0,-0.0,0.0,307.2,2.12,295.0,92639.0
20100105:1800,6.74,90.52,0.0,-0.0,0.0,312.48,2.1,291.0,92682.0
20100105:1900,6.48,90.78,0.0,-0.0,0.0,317.77,2.08,286.0,92725.0
20100105:2000,6.22,91.03,0.0,-0.0,0.0,323.05,2.06,281.0,92768.0
20100105:2100,6.17,91.57,0.0,-0.0,0.0,328.77,2.01,278.0,92777.0
20100105:2200,6.13,92.12,0.0,-0.0,0.0,334.48,1.97,275.0,92786.0
20100105:2300,6.08,92.66,0.0,-0.0,0.0,340.2,1.93,272.0,92796.0
20100106:0000,5.77,92.79,0.0,-0.0,0.0,336.55,2.12,270.0,92792.0
20100106:0100,5.45,92.93,0.0,-0.0,0.0,332.9,2.32,267.0,92789.0
20100106:0200,5.14,93.06,0.0,-0.0,0.0,329.25,2.51,265.0,92786.0
20100106:0300,4.97,92.66,0.0,-0.0,0.0,329.1,2.36,265.0,92811.0
20100106:0400,4.8,92.25,0.0,-0.0,0.0,328.95,2.21,265.0,92836.0
20100106:0500,4.63,91.85,0.0,-0.0,0.0,328.8,2.06,265.0,92860.0
20100106:0600,4.69,91.59,0.0,-0.0,0.0,327.08,2.21,265.0,92916.0
20100106:0700,4.76,91.32,0.0,-0.0,0.0,325.37,2.36,264.0,92971.0
20100106:0800,4.82,91.06,24.0,0.0,24.0,323.65,2.51,264.0,93026.0
20100106:0900,4.99,87.95,165.0,313.17,94.0,319.55,3.13,264.0,93039.0
20100106:1000,5.16,84.85,294.0,472.72,131.0,315.45,3.74,264.0,93051.0
20100106:1100,5.33,81.74,313.0,260.36,203.0,311.35,4.36,264.0,93063.0
20100106:1200,5.2,78.2,299.0,154.02,229.0,304.05,4.37,260.0,93011.0
20100106:1300,5.06,74.66,427.0,704.54,118.0,296.75,4.39,256.0,92959.0
20100106:1400,4.93,71.12,345.0,603.92,118.0,289.45,4.4,253.0,92906.0
20100106:1500,4.39,73.2,237.0,576.39,81.0,298.52,3.64,250.0,92912.0
20100106:1600,3.85,75.27,94.0,422.87,39.0,307.58,2.87,248.0,92919.0
20100106:1700,3.31,77.35,0.0,-0.0,0.0,316.65,2.11,245.0,92925.0
20100106:1800,3.14,78.8,0.0,-0.0,0.0,318.53,2.13,241.0,92937.0
20100106:1900,2.96,80.24,0.0,-0.0,0.0,320.42,2.15,236.0,92949.0
20100106:2000,2.79,81.69,0.0,-0.0,0.0,322.3,2.17,232.0,92962.0
20100106:2100,2.81,82.94,0.0,-0.0,0.0,322.9,1.74,203.0,92928.0
20100106:2200,2.84,84.18,0.0,-0.0,0.0,323.5,1.31,174.0,92894.0
20100106:2300,2.86,85.43,0.0,-0.0,0.0,324.1,0.88,146.0,92860.0
20100107:0000,2.95,87.59,0.0,-0.0,0.0,325.18,1.49,143.0,92765.0
20100107:0100,3.04,89.75,0.0,-0.0,0.0,326.27,2.1,141.0,92669.0
20100107:0200,3.13,91.91,0.0,-0.0,0.0,327.35,2.7,138.0,92574.0
20100107:0300,3.05,92.11,0.0,-0.0,0.0,329.77,3.2,125.0,92522.0
20100107:0400,2.98,92.32,0.0,-0.0,0.0,332.18,3.69,111.0,92469.0
20100107:0500,2.91,92.52,0.0,-0.0,0.0,334.6,4.18,98.0,92417.0
20100107:0600,3.06,91.98,0.0,-0.0,0.0,335.38,4.64,87.0,92420.0
20100107:0700,3.22,91.45,0.0,-0.0,0.0,336.17,5.11,76.0,92423.0
20100107:0800,3.37,90.91,27.0,0.0,27.0,336.95,5.57,64.0,92426.0
20100107:0900,3.24,89.36,51.0,0.0,51.0,334.98,6.31,56.0,92414.0
20100107:1000,3.11,87.8,73.0,0.0,73.0,333.02,7.04,48.0,92401.0
20100107:1100,2.98,86.25,157.0,4.72,155.0,331.05,7.78,40.0,92389.0
20100107:1200,2.55,86.79,153.0,2.19,152.0,330.4,7.78,37.0,92383.0
20100107:1300,2.12,87.32,124.0,0.0,124.0,329.75,7.79,33.0,92377.0
20100107:1400,1.69,87.86,108.0,0.0,108.0,329.1,7.79,30.0,92371.0
20100107:1500,1.13,87.42,46.0,0.0,46.0,326.63,7.29,28.0,92414.0
