Latitude (decimal degrees): 6.251
Longitude (decimal degrees): -75.585
Elevation (m): 1476.0
month,year
12,010
22,012
32,014
42,007
52,014
62,010
72,010
82,012
92,011
102,014
112,009
122,009
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20100101:0000,18.69,76.66,0.0,-0.0,0.0,335.57,1.12,11.0,84743.0
20100101:0100,18.06,79.6,0.0,-0.0,0.0,334.42,1.13,10.0,84801.0
20100101:0200,17.43,82.53,0.0,-0.0,0.0,333.28,1.13,8.0,84860.0
20100101:0300,16.8,85.46,0.0,-0.0,0.0,332.13,1.14,356.0,84832.0
20100101:0400,16.17,88.4,0.0,-0.0,0.0,330.99,1.15,343.0,84804.0
20100101:0500,15.54,91.33,0.0,-0.0,0.0,329.84,1.15,331.0,84776.0
20100101:0600,14.91,94.27,0.0,-0.0,0.0,328.69,1.16,301.0,84740.0
20100101:0700,14.28,97.2,0.0,-0.0,0.0,327.55,1.17,272.0,84703.0
20100101:0800,14.86,96.19,0.0,-0.0,0.0,319.5,0.79,243.0,84667.0
20100101:0900,15.05,95.69,0.0,-0.0,0.0,318.93,1.03,232.0,84715.0
20100101:1000,15.25,95.18,0.0,-0.0,0.0,318.37,1.26,220.0,84762.0
20100101:1100,15.44,94.68,0.0,-0.0,0.0,317.8,1.5,209.0,84809.0
20100101:1200,17.3,85.82,127.0,418.62,55.0,322.8,1.71,180.0,84835.0
20100101:1300,19.15,76.95,371.0,711.58,90.0,327.8,1.91,150.0,84860.0
20100101:1400,21.01,68.09,601.0,835.06,110.0,332.8,2.11,121.0,84885.0
20100101:1500,21.69,63.53,785.0,898.26,122.0,334.73,1.99,110.0,84784.0
20100101:1600,22.38,58.98,906.0,930.52,129.0,336.67,1.86,98.0,84684.0
20100101:1700,23.06,54.42,952.0,940.23,132.0,338.6,1.74,87.0,84584.0
20100101:1800,22.78,55.44,919.0,931.63,130.0,342.03,1.55,68.0,84517.0
20100101:1900,22.5,56.45,811.0,901.37,125.0,345.47,1.37,48.0,84450.0
20100101:2000,22.21,57.47,637.0,842.93,114.0,348.9,1.19,29.0,84383.0
20100101:2100,21.24,63.44,415.0,731.59,97.0,346.57,1.39,22.0,84433.0
20100101:2200,20.27,69.42,175.0,508.41,65.0,344.23,1.6,14.0,84483.0
20100101:2300,19.3,75.39,0.0,-0.0,0.0,341.9,1.81,7.0,84533.0
20100102:0000,18.28,77.75,0.0,-0.0,0.0,347.17,1.72,5.0,84600.0
20100102:0100,17.27,80.12,0.0,-0.0,0.0,352.43,1.64,4.0,84667.0
20100102:0200,16.25,82.48,0.0,-0.0,0.0,357.7,1.56,2.0,84734.0
20100102:0300,15.94,83.18,0.0,-0.0,0.0,362.33,1.27,0.0,84712.0
20100102:0400,15.63,83.89,0.0,-0.0,0.0,366.97,0.98,359.0,84690.0
20100102:0500,15.33,84.59,0.0,-0.0,0.0,371.6,0.69,357.0,84667.0
20100102:0600,14.92,85.85,0.0,-0.0,0.0,361.8,0.74,355.0,84650.0
20100102:0700,14.52,87.11,0.0,-0.0,0.0,352.0,0.79,353.0,84634.0
20100102:0800,14.12,88.37,0.0,-0.0,0.0,342.2,0.84,351.0,84617.0
20100102:0900,14.37,89.0,0.0,-0.0,0.0,341.48,1.17,30.0,84659.0
20100102:1000,14.63,89.64,0.0,-0.0,0.0,340.77,1.5,69.0,84701.0
20100102:1100,14.88,90.27,0.0,-0.0,0.0,340.05,1.83,108.0,84743.0
20100102:1200,17.05,82.12,127.0,422.17,55.0,340.13,1.88,100.0,84748.0
20100102:1300,19.23,73.96,373.0,718.72,90.0,340.22,1.93,91.0,84754.0
20100102:1400,21.4,65.81,606.0,844.63,110.0,340.3,1.97,83.0,84759.0
20100102:1500,22.68,61.06,791.0,905.38,123.0,346.68,2.0,88.0,84670.0
20100102:1600,23.95,56.32,913.0,937.49,130.0,353.07,2.03,94.0,84581.0
20100102:1700,25.23,51.57,958.0,946.37,132.0,359.45,2.06,99.0,84491.0
20100102:1800,25.15,51.67,925.0,936.29,131.0,358.15,2.11,81.0,84419.0
20100102:1900,25.08,51.76,816.0,906.14,125.0,356.85,2.17,63.0,84346.0
20100102:2000,25.0,51.86,642.0,848.53,114.0,355.55,2.22,45.0,84274.0
20100102:2100,23.51,59.3,420.0,739.74,97.0,352.72,2.35,40.0,84313.0
20100102:2200,22.02,66.74,179.0,522.02,65.0,349.88,2.49,35.0,84352.0
20100102:2300,20.53,74.18,0.0,-0.0,0.0,347.05,2.62,30.0,84391.0
20100103:0000,19.13,77.16,0.0,-0.0,0.0,343.32,2.24,23.0,84444.0
20100103:0100,17.74,80.15,0.0,-0.0,0.0,339.58,1.87,17.0,84497.0
20100103:0200,16.34,83.13,0.0,-0.0,0.0,335.85,1.49,10.0,84550.0
20100103:0300,15.89,84.39,0.0,-0.0,0.0,334.62,1.36,356.0,84536.0
20100103:0400,15.44,85.65,0.0,-0.0,0.0,333.38,1.23,342.0,84522.0
20100103:0500,14.99,86.91,0.0,-0.0,0.0,332.15,1.1,328.0,84508.0
20100103:0600,14.72,88.13,0.0,-0.0,0.0,331.68,1.0,289.0,84486.0
