Latitude (decimal degrees): -34.876
Longitude (decimal degrees): -56.206
Elevation (m): 9.0
month,year
12,009
22,011
32,015
42,009
52,014
62,009
72,015
82,011
92,009
102,013
112,015
122,006
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20090101:0000,22.71,66.17,0.0,-0.0,0.0,341.19,6.38,138.0,101718.0
20090101:0100,21.89,68.28,0.0,-0.0,0.0,334.15,6.77,137.0,101775.0
20090101:0200,21.07,70.39,0.0,-0.0,0.0,327.11,7.17,137.0,101831.0
20090101:0300,20.25,72.49,0.0,-0.0,0.0,320.07,7.57,138.0,101828.0
20090101:0400,19.43,74.6,0.0,-0.0,0.0,313.02,7.97,140.0,101825.0
20090101:0500,18.61,76.7,0.0,-0.0,0.0,305.98,8.36,141.0,101821.0
20090101:0600,17.79,78.81,0.0,-0.0,0.0,298.94,8.76,141.0,101851.0
20090101:0700,16.97,80.92,0.0,-0.0,0.0,291.9,9.16,141.0,101881.0
20090101:0800,17.76,74.0,0.0,-0.0,0.0,298.85,7.32,142.0,101911.0
20090101:0900,17.9,66.51,44.0,271.34,24.0,298.68,7.03,142.0,101944.0
20090101:1000,18.04,59.01,244.0,662.06,65.0,298.52,6.74,142.0,101978.0
20090101:1100,18.18,51.52,459.0,778.29,98.0,298.35,6.46,142.0,102011.0
20090101:1200,18.51,46.55,641.0,741.12,166.0,297.73,6.72,142.0,101968.0
20090101:1300,18.84,41.59,782.0,677.59,247.0,297.12,6.98,142.0,101925.0
20090101:1400,19.16,36.62,862.0,583.57,337.0,296.5,7.24,141.0,101881.0
20090101:1500,18.92,35.47,960.0,660.01,324.0,298.32,7.61,139.0,101828.0
20090101:1600,18.69,34.32,1042.0,838.13,223.0,300.13,7.98,137.0,101775.0
20090101:1700,18.45,33.17,748.0,285.3,480.0,301.95,8.34,135.0,101721.0
20090101:1800,18.29,35.76,492.0,69.19,433.0,306.98,8.38,131.0,101691.0
20090101:1900,18.13,38.36,593.6,553.38,193.35,312.02,8.42,128.0,101661.0
20090101:2000,17.97,40.95,361.6,336.85,173.05,317.05,8.46,124.0,101631.0
20090101:2100,18.16,44.72,119.45,122.02,73.9,320.88,8.18,120.0,101695.0
20090101:2200,18.35,48.5,78.6,251.36,34.2,324.72,7.91,115.0,101758.0
20090101:2300,18.55,52.27,0.0,-0.0,0.0,328.55,7.64,111.0,101821.0
20090102:0000,18.4,55.4,0.0,-0.0,0.0,327.17,7.09,108.0,101855.0
20090102:0100,18.26,58.52,0.0,-0.0,0.0,325.78,6.54,105.0,101888.0
20090102:0200,18.11,61.65,0.0,-0.0,0.0,324.4,5.99,102.0,101921.0
20090102:0300,18.03,63.09,0.0,-0.0,0.0,324.23,5.52,98.0,101891.0
20090102:0400,17.95,64.53,0.0,-0.0,0.0,324.07,5.06,94.0,101861.0
20090102:0500,17.87,65.97,0.0,-0.0,0.0,323.9,4.59,89.0,101831.0
20090102:0600,17.85,67.83,0.0,-0.0,0.0,324.6,4.37,91.0,101821.0
20090102:0700,17.83,69.68,0.0,-0.0,0.0,325.3,4.14,92.0,101811.0
20090102:0800,17.81,71.54,0.0,-0.0,0.0,326.0,3.92,93.0,101801.0
20090102:0900,18.18,65.69,29.45,147.09,18.95,322.97,4.06,97.0,101808.0
20090102:1000,18.54,59.84,187.0,264.79,116.0,319.93,4.21,100.0,101815.0
20090102:1100,18.9,53.99,330.4,418.47,137.15,316.9,4.36,104.0,101821.0
20090102:1200,19.33,48.65,550.0,430.24,275.0,315.72,4.32,105.0,101791.0
20090102:1300,19.76,43.31,673.4,582.75,214.1,314.53,4.28,106.0,101761.0
20090102:1400,20.19,37.97,840.0,534.15,360.0,313.35,4.23,107.0,101731.0
20090102:1500,20.19,35.91,915.2,681.51,258.9,313.67,4.64,109.0,101661.0
20090102:1600,20.18,33.85,862.0,421.72,450.0,313.98,5.05,111.0,101592.0
20090102:1700,20.18,31.79,876.3,649.82,265.8,314.3,5.46,114.0,101522.0
20090102:1800,20.21,32.63,552.0,121.9,448.0,311.97,5.67,110.0,101505.0
20090102:1900,20.24,33.48,584.5,505.51,218.55,309.63,5.89,106.0,101488.0
20090102:2000,20.27,34.32,290.0,48.17,263.0,307.3,6.1,102.0,101472.0
20090102:2100,20.4,39.42,69.35,12.16,64.8,308.28,6.11,97.0,101508.0
20090102:2200,20.53,44.52,12.0,0.0,12.0,309.27,6.11,93.0,101545.0
20090102:2300,20.67,49.62,0.0,-0.0,0.0,310.25,6.12,88.0,101582.0
20090103:0000,20.48,54.13,0.0,-0.0,0.0,311.32,5.87,82.0,101612.0
20090103:0100,20.3,58.63,0.0,-0.0,0.0,312.38,5.61,76.0,101641.0
20090103:0200,20.11,63.14,0.0,-0.0,0.0,313.45,5.35,70.0,101671.0
20090103:0300,19.87,66.7,0.0,-0.0,0.0,314.22,4.93,64.0,101645.0
20090103:0400,19.64,70.25,0.0,-0.0,0.0,314.98,4.51,59.0,101618.0
20090103:0500,19.4,73.81,0.0,-0.0,0.0,315.75,4.1,53.0,101592.0
20090103:0600,19.2,77.87,0.0,-0.0,0.0,316.28,3.58,53.0,101585.0
20090103:0700,19.0,81.94,0.0,-0.0,0.0,316.82,3.07,53.0,101578.0
20090103:0800,18.8,86.0,0.0,-0.0,0.0,317.35,2.55,54.0,101572.0
20090103:0900,19.08,76.55,23.5,102.91,16.4,316.78,2.06,68.0,101608.0
20090103:1000,19.36,67.11,240.0,669.53,62.0,316.22,1.57,82.0,101645.0
20090103:1100,19.63,57.66,305.65,360.11,140.1,315.65,1.08,96.0,101681.0
20090103:1200,19.79,53.21,668.0,870.75,113.0,314.0,1.39,107.0,101678.0
20090103:1300,19.95,48.75,637.45,531.95,218.95,312.35,1.7,118.0,101675.0
20090103:1400,20.11,44.3,992.0,964.83,126.0,310.7,2.01,129.0,101671.0
20090103:1500,20.23,41.8,925.0,716.88,235.1,310.37,2.34,133.0,101628.0
20090103:1600,20.35,39.31,1097.0,1003.38,117.0,310.03,2.66,136.0,101585.0
20090103:1700,20.47,36.81,915.55,718.99,240.0,309.7,2.98,140.0,101542.0
20090103:1800,20.56,37.29,944.0,982.93,105.0,310.08,3.16,134.0,101518.0
20090103:1900,20.65,37.77,626.45,557.15,222.8,310.47,3.34,128.0,101495.0
20090103:2000,20.74,38.25,506.0,534.6,206.0,310.85,3.52,122.0,101472.0
20090103:2100,20.87,43.54,57.45,6.27,55.1,312.42,3.7,103.0,101512.0
20090103:2200,21.0,48.82,12.0,0.0,12.0,313.98,3.88,84.0,101552.0
20090103:2300,21.14,54.11,0.0,-0.0,0.0,315.55,4.06,65.0,101592.0
20090104:0000,21.02,60.46,0.0,-0.0,0.0,316.9,3.71,53.0,101588.0
20090104:0100,20.91,66.81,0.0,-0.0,0.0,318.25,3.36,41.0,101585.0
20090104:0200,20.79,73.16,0.0,-0.0,0.0,319.6,3.01,29.0,101582.0
20090104:0300,20.56,75.93,0.0,-0.0,0.0,321.43,3.24,14.0,101552.0
20090104:0400,20.33,78.7,0.0,-0.0,0.0,323.27,3.48,360.0,101522.0
20090104:0500,20.09,81.47,0.0,-0.0,0.0,325.1,3.71,345.0,101492.0
20090104:0600,19.98,83.71,0.0,-0.0,0.0,327.12,3.93,334.0,101502.0
20090104:0700,19.86,85.96,0.0,-0.0,0.0,329.13,4.15,324.0,101512.0
20090104:0800,19.74,88.2,0.0,-0.0,0.0,331.15,4.37,313.0,101522.0
20090104:0900,20.25,77.39,21.0,82.66,15.5,332.02,4.59,308.0,101548.0
20090104:1000,20.75,66.58,239.0,679.26,60.0,332.88,4.81,302.0,101575.0
20090104:1100,21.25,55.77,337.75,436.95,137.8,333.75,5.03,297.0,101602.0
20090104:1200,21.94,47.95,672.0,900.0,100.0,332.07,4.86,288.0,101558.0
