Latitude (decimal degrees): 64.147
Longitude (decimal degrees): -21.934
Elevation (m): 6.0
month,year
12,010
22,008
32,012
42,007
52,012
62,012
72,011
82,013
92,007
102,012
112,015
122,010
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20100101:0000,1.12,85.07,0.0,-0.0,0.0,293.16,3.64,9.0,102823.0
20100101:0100,1.12,85.35,0.0,-0.0,0.0,292.21,3.4,8.0,102750.0
20100101:0200,1.13,85.62,0.0,-0.0,0.0,291.26,3.16,7.0,102677.0
20100101:0300,1.13,85.9,0.0,-0.0,0.0,290.31,2.92,11.0,102640.0
20100101:0400,1.14,86.17,0.0,-0.0,0.0,289.37,2.68,16.0,102604.0
20100101:0500,1.14,86.45,0.0,-0.0,0.0,288.42,2.43,20.0,102567.0
20100101:0600,1.15,86.72,0.0,-0.0,0.0,287.47,2.19,33.0,102547.0
20100101:0700,1.15,86.99,0.0,-0.0,0.0,286.52,1.95,45.0,102527.0
20100101:0800,0.88,87.67,0.0,-0.0,0.0,284.85,2.19,58.0,102507.0
20100101:0900,0.96,88.21,0.0,-0.0,0.0,284.82,3.11,70.0,102530.0
20100101:1000,1.04,88.75,0.0,-0.0,0.0,284.78,4.02,82.0,102554.0
20100101:1100,1.12,89.29,0.0,-0.0,0.0,284.75,4.94,94.0,102577.0
20100101:1200,1.21,89.51,11.85,0.0,11.85,281.62,4.4,101.0,102580.0
20100101:1300,1.3,89.74,24.45,141.56,17.95,278.48,3.87,107.0,102584.0
20100101:1400,1.4,89.96,17.95,108.74,12.9,275.35,3.34,114.0,102587.0
20100101:1500,1.33,88.12,1.65,0.0,1.65,274.9,3.34,117.0,102647.0
20100101:1600,1.26,86.29,0.0,-0.0,0.0,274.45,3.35,120.0,102707.0
20100101:1700,1.18,84.45,0.0,-0.0,0.0,274.0,3.35,123.0,102767.0
20100101:1800,1.13,83.54,0.0,-0.0,0.0,278.93,3.28,123.0,102850.0
20100101:1900,1.09,82.63,0.0,-0.0,0.0,283.87,3.2,123.0,102933.0
20100101:2000,1.04,81.72,0.0,-0.0,0.0,288.8,3.13,123.0,103017.0
20100101:2100,1.14,80.48,0.0,-0.0,0.0,282.72,2.98,119.0,103083.0
20100101:2200,1.25,79.25,0.0,-0.0,0.0,276.63,2.83,116.0,103150.0
20100101:2300,1.36,78.01,0.0,-0.0,0.0,270.55,2.68,112.0,103217.0
20100102:0000,1.17,77.64,0.0,-0.0,0.0,268.42,2.37,100.0,103293.0
20100102:0100,0.97,77.26,0.0,-0.0,0.0,266.28,2.06,89.0,103370.0
20100102:0200,0.78,76.89,0.0,-0.0,0.0,264.15,1.75,77.0,103446.0
20100102:0300,0.67,77.37,0.0,-0.0,0.0,263.63,2.5,69.0,103493.0
20100102:0400,0.57,77.84,0.0,-0.0,0.0,263.12,3.25,60.0,103540.0
20100102:0500,0.46,78.32,0.0,-0.0,0.0,262.6,4.0,52.0,103586.0
20100102:0600,0.39,78.84,0.0,-0.0,0.0,259.55,4.0,43.0,103626.0
20100102:0700,0.31,79.36,0.0,-0.0,0.0,256.5,4.01,33.0,103666.0
20100102:0800,0.23,79.88,0.0,-0.0,0.0,253.45,4.01,24.0,103706.0
20100102:0900,0.41,80.53,0.0,-0.0,0.0,251.17,4.09,18.0,103753.0
20100102:1000,0.58,81.18,0.0,-0.0,0.0,248.88,4.17,12.0,103799.0
20100102:1100,0.76,81.83,0.0,-0.0,0.0,246.6,4.25,7.0,103846.0
20100102:1200,0.97,83.31,12.1,0.0,12.1,245.88,4.19,7.0,103853.0
20100102:1300,1.18,84.79,30.1,291.74,16.3,245.17,4.13,7.0,103859.0
20100102:1400,1.39,86.27,21.4,183.21,12.6,244.45,4.07,7.0,103866.0
20100102:1500,1.29,86.93,1.95,0.0,1.95,243.43,4.06,10.0,103856.0
20100102:1600,1.19,87.59,0.0,-0.0,0.0,242.42,4.06,14.0,103846.0
20100102:1700,1.08,88.25,0.0,-0.0,0.0,241.4,4.06,17.0,103836.0
20100102:1800,1.03,88.39,0.0,-0.0,0.0,245.4,3.93,20.0,103843.0
20100102:1900,0.99,88.54,0.0,-0.0,0.0,249.4,3.8,22.0,103849.0
20100102:2000,0.94,88.68,0.0,-0.0,0.0,253.4,3.67,24.0,103856.0
20100102:2100,1.07,88.15,0.0,-0.0,0.0,254.45,3.63,25.0,103849.0
20100102:2200,1.2,87.61,0.0,-0.0,0.0,255.5,3.59,25.0,103843.0
20100102:2300,1.33,87.08,0.0,-0.0,0.0,256.55,3.54,26.0,103836.0
20100103:0000,0.86,90.1,0.0,-0.0,0.0,253.88,3.08,29.0,103809.0
20100103:0100,0.39,93.12,0.0,-0.0,0.0,251.22,2.61,32.0,103783.0
20100103:0200,-0.08,96.14,0.0,-0.0,0.0,248.55,2.14,35.0,103756.0
20100103:0300,-0.25,96.73,0.0,-0.0,0.0,248.97,1.86,36.0,103733.0
20100103:0400,-0.42,97.33,0.0,-0.0,0.0,249.38,1.58,36.0,103710.0
20100103:0500,-0.59,97.92,0.0,-0.0,0.0,249.8,1.3,37.0,103686.0
20100103:0600,-0.72,98.61,0.0,-0.0,0.0,249.73,1.14,37.0,103663.0
20100103:0700,-0.86,99.31,0.0,-0.0,0.0,249.67,0.99,36.0,103640.0
20100103:0800,-0.99,100.0,0.0,-0.0,0.0,249.6,0.84,35.0,103616.0
20100103:0900,-0.84,100.0,0.0,-0.0,0.0,252.17,1.11,31.0,103610.0
20100103:1000,-0.69,100.0,0.0,-0.0,0.0,254.73,1.38,28.0,103603.0
20100103:1100,-0.53,100.0,0.0,-0.0,0.0,257.3,1.66,24.0,103596.0
20100103:1200,-0.31,98.89,11.2,0.0,11.2,256.3,2.18,11.0,103570.0
20100103:1300,-0.09,97.79,24.2,150.55,16.85,255.3,2.71,359.0,103543.0
20100103:1400,0.13,96.68,17.85,94.47,13.15,254.3,3.24,346.0,103516.0
20100103:1500,0.26,95.9,2.25,0.0,2.25,258.03,3.51,343.0,103486.0
20100103:1600,0.39,95.13,0.0,-0.0,0.0,261.77,3.77,341.0,103456.0
20100103:1700,0.51,94.35,0.0,-0.0,0.0,265.5,4.04,338.0,103426.0
20100103:1800,0.77,92.96,0.0,-0.0,0.0,270.48,3.81,337.0,103423.0
20100103:1900,1.03,91.58,0.0,-0.0,0.0,275.47,3.57,336.0,103420.0
20100103:2000,1.29,90.19,0.0,-0.0,0.0,280.45,3.34,335.0,103416.0
20100103:2100,1.53,89.33,0.0,-0.0,0.0,285.67,3.7,337.0,103406.0
20100103:2200,1.78,88.46,0.0,-0.0,0.0,290.88,4.06,340.0,103396.0
20100103:2300,2.03,87.6,0.0,-0.0,0.0,296.1,4.43,342.0,103386.0
20100104:0000,1.61,89.34,0.0,-0.0,0.0,294.35,4.41,348.0,103366.0
20100104:0100,1.19,91.07,0.0,-0.0,0.0,292.6,4.4,354.0,103346.0
20100104:0200,0.77,92.81,0.0,-0.0,0.0,290.85,4.39,360.0,103326.0
20100104:0300,0.4,91.44,0.0,-0.0,0.0,284.17,4.46,11.0,103350.0
20100104:0400,0.04,90.06,0.0,-0.0,0.0,277.48,4.52,22.0,103373.0
20100104:0500,-0.33,88.69,0.0,-0.0,0.0,270.8,4.59,33.0,103396.0
20100104:0600,-0.46,86.05,0.0,-0.0,0.0,263.42,4.6,40.0,103436.0
20100104:0700,-0.6,83.42,0.0,-0.0,0.0,256.03,4.6,46.0,103476.0
20100104:0800,-0.73,80.78,0.0,-0.0,0.0,248.65,4.61,53.0,103516.0
20100104:0900,-0.65,78.87,0.0,-0.0,0.0,253.12,4.88,55.0,103546.0
20100104:1000,-0.57,76.97,0.0,-0.0,0.0,257.58,5.15,57.0,103576.0
20100104:1100,-0.49,75.06,0.0,-0.0,0.0,262.05,5.42,59.0,103606.0
20100104:1200,-0.67,73.99,13.2,0.0,13.2,257.25,5.16,56.0,103586.0
20100104:1300,-0.84,72.93,33.65,312.06,17.9,252.45,4.91,53.0,103566.0
20100104:1400,-1.01,71.86,24.5,204.44,13.95,247.65,4.65,50.0,103546.0
20100104:1500,-1.4,71.75,2.75,0.0,2.75,247.75,4.47,53.0,103550.0
20100104:1600,-1.79,71.65,0.0,-0.0,0.0,247.85,4.3,56.0,103553.0
20100104:1700,-2.19,71.54,0.0,-0.0,0.0,247.95,4.12,58.0,103556.0
20100104:1800,-2.4,71.75,0.0,-0.0,0.0,246.38,3.99,61.0,103563.0
20100104:1900,-2.62,71.95,0.0,-0.0,0.0,244.82,3.85,64.0,103570.0
20100104:2000,-2.83,72.16,0.0,-0.0,0.0,243.25,3.71,67.0,103576.0
20100104:2100,-2.78,72.93,0.0,-0.0,0.0,241.97,3.68,68.0,103563.0
20100104:2200,-2.72,73.69,0.0,-0.0,0.0,240.68,3.66,68.0,103550.0
20100104:2300,-2.66,74.46,0.0,-0.0,0.0,239.4,3.63,69.0,103536.0
20100105:0000,-2.85,74.52,0.0,-0.0,0.0,237.95,3.34,66.0,103503.0
20100105:0100,-3.05,74.59,0.0,-0.0,0.0,236.5,3.06,63.0,103470.0
20100105:0200,-3.24,74.65,0.0,-0.0,0.0,235.05,2.77,59.0,103436.0
20100105:0300,-3.27,74.2,0.0,-0.0,0.0,235.68,2.54,61.0,103410.0
20100105:0400,-3.3,73.76,0.0,-0.0,0.0,236.32,2.3,62.0,103383.0
20100105:0500,-3.33,73.31,0.0,-0.0,0.0,236.95,2.07,63.0,103356.0
20100105:0600,-3.27,73.47,0.0,-0.0,0.0,237.7,2.05,63.0,103333.0
20100105:0700,-3.22,73.64,0.0,-0.0,0.0,238.45,2.03,63.0,103310.0
20100105:0800,-3.17,73.8,0.0,-0.0,0.0,239.2,2.01,63.0,103286.0
20100105:0900,-2.89,73.56,0.0,-0.0,0.0,239.57,2.08,66.0,103267.0
20100105:1000,-2.61,73.33,0.0,-0.0,0.0,239.93,2.14,70.0,103247.0
20100105:1100,-2.32,73.09,0.0,-0.0,0.0,240.3,2.21,74.0,103227.0
20100105:1200,-2.22,71.97,13.9,0.0,13.9,238.0,2.04,64.0,103190.0
20100105:1300,-2.12,70.86,34.8,312.91,18.45,235.7,1.87,55.0,103153.0
20100105:1400,-2.02,69.74,24.35,171.7,15.15,233.4,1.7,45.0,103117.0
20100105:1500,-2.09,70.25,3.05,0.0,3.05,233.72,1.51,53.0,103073.0
20100105:1600,-2.16,70.76,0.0,-0.0,0.0,234.03,1.33,60.0,103030.0
20100105:1700,-2.24,71.27,0.0,-0.0,0.0,234.35,1.14,67.0,102987.0
20100105:1800,-2.06,72.57,0.0,-0.0,0.0,235.82,1.22,94.0,102940.0
20100105:1900,-1.87,73.86,0.0,-0.0,0.0,237.28,1.29,120.0,102893.0
20100105:2000,-1.69,75.16,0.0,-0.0,0.0,238.75,1.37,147.0,102847.0
20100105:2100,-1.06,75.68,0.0,-0.0,0.0,239.92,1.79,164.0,102777.0
20100105:2200,-0.42,76.2,0.0,-0.0,0.0,241.08,2.21,182.0,102707.0
20100105:2300,0.22,76.72,0.0,-0.0,0.0,242.25,2.63,200.0,102637.0
20100106:0000,0.77,75.64,0.0,-0.0,0.0,247.25,3.13,215.0,102550.0
20100106:0100,1.32,74.56,0.0,-0.0,0.0,252.25,3.63,230.0,102464.0
20100106:0200,1.87,73.48,0.0,-0.0,0.0,257.25,4.12,245.0,102377.0
20100106:0300,1.96,75.69,0.0,-0.0,0.0,267.17,4.11,252.0,102284.0
20100106:0400,2.06,77.91,0.0,-0.0,0.0,277.08,4.11,258.0,102191.0
20100106:0500,2.15,80.12,0.0,-0.0,0.0,287.0,4.1,265.0,102097.0
20100106:0600,2.16,80.5,0.0,-0.0,0.0,294.62,3.99,271.0,102037.0
20100106:0700,2.17,80.87,0.0,-0.0,0.0,302.23,3.89,277.0,101977.0
20100106:0800,2.18,81.25,0.0,-0.0,0.0,309.85,3.78,283.0,101917.0
20100106:0900,2.41,80.8,0.0,-0.0,0.0,310.73,3.63,286.0,101884.0
20100106:1000,2.64,80.36,0.0,-0.0,0.0,311.62,3.49,290.0,101851.0
20100106:1100,2.87,79.91,0.0,-0.0,0.0,312.5,3.34,293.0,101818.0
20100106:1200,3.1,79.35,11.95,0.0,11.95,313.73,3.32,297.0,101791.0
20100106:1300,3.34,78.8,16.9,33.23,15.1,314.97,3.31,301.0,101764.0
20100106:1400,3.58,78.24,16.35,67.34,12.6,316.2,3.3,305.0,101738.0
20100106:1500,3.51,77.73,2.85,0.0,2.85,315.33,3.17,308.0,101738.0
20100106:1600,3.44,77.21,0.0,-0.0,0.0,314.47,3.04,311.0,101738.0
20100106:1700,3.36,76.7,0.0,-0.0,0.0,313.6,2.91,313.0,101738.0
20100106:1800,3.27,77.05,0.0,-0.0,0.0,310.88,3.18,314.0,101748.0
20100106:1900,3.18,77.4,0.0,-0.0,0.0,308.17,3.45,314.0,101758.0
20100106:2000,3.09,77.75,0.0,-0.0,0.0,305.45,3.72,315.0,101768.0
20100106:2100,3.19,77.98,0.0,-0.0,0.0,305.12,2.87,314.0,101784.0
20100106:2200,3.3,78.2,0.0,-0.0,0.0,304.78,2.02,314.0,101801.0
20100106:2300,3.4,78.43,0.0,-0.0,0.0,304.45,1.17,314.0,101818.0
20100107:0000,2.98,79.52,0.0,-0.0,0.0,301.45,1.26,317.0,101821.0
20100107:0100,2.56,80.62,0.0,-0.0,0.0,298.45,1.34,319.0,101824.0
20100107:0200,2.14,81.71,0.0,-0.0,0.0,295.45,1.42,322.0,101828.0
20100107:0300,2.16,81.4,0.0,-0.0,0.0,296.45,1.38,320.0,101838.0
20100107:0400,2.18,81.1,0.0,-0.0,0.0,297.45,1.35,318.0,101848.0
20100107:0500,2.19,80.79,0.0,-0.0,0.0,298.45,1.31,317.0,101858.0
20100107:0600,2.28,80.5,0.0,-0.0,0.0,300.27,1.35,312.0,101868.0
20100107:0700,2.37,80.2,0.0,-0.0,0.0,302.08,1.38,307.0,101877.0
20100107:0800,2.46,79.91,0.0,-0.0,0.0,303.9,1.42,302.0,101887.0
20100107:0900,2.71,79.65,0.0,-0.0,0.0,304.03,1.49,296.0,101907.0
20100107:1000,2.95,79.4,0.0,-0.0,0.0,304.17,1.56,290.0,101927.0
20100107:1100,3.2,79.14,0.0,-0.0,0.0,304.3,1.63,284.0,101947.0
20100107:1200,3.27,78.06,10.7,0.0,10.7,306.52,1.79,280.0,101931.0
20100107:1300,3.34,76.99,18.0,41.81,15.65,308.73,1.96,275.0,101914.0
20100107:1400,3.41,75.91,14.5,28.49,12.85,310.95,2.12,271.0,101897.0
20100107:1500,3.37,75.46,3.05,0.0,3.05,309.55,2.07,270.0,101891.0
20100107:1600,3.33,75.0,0.0,-0.0,0.0,308.15,2.01,270.0,101884.0
20100107:1700,3.29,74.55,0.0,-0.0,0.0,306.75,1.96,269.0,101877.0
20100107:1800,3.37,73.44,0.0,-0.0,0.0,303.65,2.01,267.0,101887.0
20100107:1900,3.46,72.32,0.0,-0.0,0.0,300.55,2.07,264.0,101897.0
