Latitude (decimal degrees): -34.978
Longitude (decimal degrees): 116.732
Elevation (m): 18.0
month,year
12,010
22,007
32,009
42,010
52,009
62,008
72,008
82,008
92,014
102,009
112,009
122,007
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20100101:0000,17.43,62.83,1.0,2.09,0.0,318.77,7.53,216.0,101769.0
20100101:0100,17.32,61.48,1.0,1.53,0.0,317.19,7.21,211.0,101786.0
20100101:0200,17.21,60.13,1.0,1.25,0.0,315.61,6.89,206.0,101802.0
20100101:0300,17.1,58.78,1.0,1.1,0.0,314.03,6.57,200.0,101796.0
20100101:0400,16.99,57.42,1.0,1.04,0.0,312.45,6.25,194.0,101789.0
20100101:0500,16.88,56.07,1.0,1.02,0.0,310.87,5.93,188.0,101783.0
20100101:0600,16.77,54.72,1.0,1.07,0.0,309.29,5.62,182.0,101802.0
20100101:0700,16.66,53.37,1.0,1.18,0.0,307.7,5.3,175.0,101822.0
20100101:0800,16.2,57.12,1.0,1.4,0.0,315.2,5.78,169.0,101842.0
20100101:0900,16.1,60.15,1.0,1.83,0.0,308.85,5.37,161.0,101902.0
20100101:1000,16.01,63.18,1.0,2.79,0.0,302.5,4.96,152.0,101962.0
20100101:1100,15.92,66.21,1.0,6.16,0.0,296.15,4.55,143.0,102022.0
20100101:1200,15.92,68.36,0.0,-0.0,0.0,295.08,4.39,133.0,102045.0
20100101:1300,15.91,70.52,0.0,-0.0,0.0,294.02,4.22,123.0,102069.0
20100101:1400,15.91,72.67,0.0,-0.0,0.0,292.95,4.06,113.0,102092.0
20100101:1500,15.85,74.79,0.0,-0.0,0.0,294.43,4.04,107.0,102085.0
20100101:1600,15.79,76.91,0.0,-0.0,0.0,295.92,4.03,101.0,102079.0
20100101:1700,15.73,79.03,0.0,-0.0,0.0,297.4,4.01,96.0,102072.0
20100101:1800,15.71,80.73,0.0,-0.0,0.0,297.88,3.95,92.0,102055.0
20100101:1900,15.69,82.42,0.0,-0.0,0.0,298.37,3.89,88.0,102039.0
20100101:2000,15.68,84.12,0.0,-0.0,0.0,298.85,3.83,84.0,102022.0
20100101:2100,15.86,79.16,0.0,-0.0,0.0,297.17,4.24,83.0,102052.0
20100101:2200,16.05,74.2,1.0,11.22,0.0,295.48,4.64,82.0,102082.0
20100101:2300,16.24,69.24,1.0,3.5,0.0,293.8,5.05,81.0,102112.0
20100102:0000,16.55,62.09,1.0,2.1,0.0,293.97,5.14,89.0,102079.0
20100102:0100,16.87,54.93,1.0,1.53,0.0,294.13,5.24,96.0,102045.0
20100102:0200,17.18,47.78,1.0,1.25,0.0,294.3,5.34,104.0,102012.0
20100102:0300,17.35,44.76,1.0,1.11,0.0,300.47,5.72,111.0,101955.0
20100102:0400,17.51,41.73,1.0,1.04,0.0,306.63,6.11,118.0,101899.0
20100102:0500,17.68,38.71,1.0,1.03,0.0,312.8,6.5,126.0,101842.0
20100102:0600,17.67,39.69,1.0,1.07,0.0,310.37,6.75,126.0,101806.0
20100102:0700,17.66,40.66,1.0,1.18,0.0,307.93,7.01,126.0,101769.0
20100102:0800,17.66,41.64,1.0,1.4,0.0,305.5,7.27,126.0,101733.0
20100102:0900,17.64,46.09,1.0,1.83,0.0,303.38,7.17,119.0,101753.0
20100102:1000,17.62,50.54,1.0,2.78,0.0,301.27,7.08,112.0,101773.0
20100102:1100,17.6,54.99,1.0,6.13,0.0,299.15,6.98,105.0,101792.0
20100102:1200,17.65,57.35,0.0,-0.0,0.0,298.68,6.53,97.0,101763.0
20100102:1300,17.7,59.7,0.0,-0.0,0.0,298.22,6.08,89.0,101733.0
20100102:1400,17.75,62.06,0.0,-0.0,0.0,297.75,5.63,81.0,101703.0
20100102:1500,17.61,63.85,0.0,-0.0,0.0,298.45,5.51,80.0,101659.0
20100102:1600,17.47,65.65,0.0,-0.0,0.0,299.15,5.4,79.0,101616.0
20100102:1700,17.33,67.44,0.0,-0.0,0.0,299.85,5.28,78.0,101573.0
20100102:1800,17.2,69.31,0.0,-0.0,0.0,300.55,5.24,80.0,101550.0
20100102:1900,17.07,71.17,0.0,-0.0,0.0,301.25,5.2,82.0,101526.0
20100102:2000,16.95,73.04,0.0,-0.0,0.0,301.95,5.16,84.0,101503.0
20100102:2100,17.09,69.43,0.0,-0.0,0.0,302.28,5.01,83.0,101510.0
20100102:2200,17.23,65.83,1.0,11.52,0.0,302.62,4.86,81.0,101516.0
20100102:2300,17.37,62.22,1.0,3.53,0.0,302.95,4.72,80.0,101523.0
20100103:0000,17.74,57.82,1.0,2.11,0.0,303.22,4.0,97.0,101473.0
20100103:0100,18.11,53.42,1.0,1.54,0.0,303.48,3.29,114.0,101423.0
20100103:0200,18.48,49.02,1.0,1.26,0.0,303.75,2.58,132.0,101373.0
20100103:0300,18.22,49.04,1.0,1.11,0.0,303.08,4.1,146.0,101323.0
20100103:0400,17.95,49.07,1.0,1.04,0.0,302.42,5.61,160.0,101274.0
20100103:0500,17.69,49.09,1.0,1.03,0.0,301.75,7.13,175.0,101224.0
20100103:0600,17.55,52.99,1.0,1.07,0.0,300.85,6.89,174.0,101217.0
20100103:0700,17.4,56.89,1.0,1.18,0.0,299.95,6.64,173.0,101210.0
20100103:0800,17.26,60.79,1.0,1.4,0.0,299.05,6.4,173.0,101204.0
20100103:0900,17.21,65.66,1.0,1.83,0.0,300.7,6.21,171.0,101250.0
20100103:1000,17.16,70.52,1.0,2.77,0.0,302.35,6.02,170.0,101297.0
20100103:1100,17.11,75.39,1.0,6.11,0.0,304.0,5.83,168.0,101343.0
20100103:1200,17.2,77.65,0.0,-0.0,0.0,308.98,5.82,164.0,101353.0
20100103:1300,17.28,79.91,0.0,-0.0,0.0,313.97,5.81,160.0,101363.0
20100103:1400,17.37,82.17,0.0,-0.0,0.0,318.95,5.79,156.0,101373.0
20100103:1500,17.36,83.04,0.0,-0.0,0.0,331.52,5.77,159.0,101363.0
20100103:1600,17.35,83.91,0.0,-0.0,0.0,344.08,5.76,161.0,101353.0
20100103:1700,17.34,84.78,0.0,-0.0,0.0,356.65,5.74,163.0,101343.0
20100103:1800,17.2,85.15,0.0,-0.0,0.0,363.3,5.53,162.0,101337.0
20100103:1900,17.06,85.53,0.0,-0.0,0.0,369.95,5.31,161.0,101330.0
20100103:2000,16.92,85.9,0.0,-0.0,0.0,376.6,5.1,161.0,101323.0
20100103:2100,16.73,82.85,0.0,-0.0,0.0,377.18,5.57,159.0,101367.0
20100103:2200,16.54,79.8,1.0,11.85,0.0,377.77,6.03,158.0,101410.0
20100103:2300,16.35,76.75,1.0,3.56,0.0,378.35,6.5,156.0,101453.0
20100104:0000,16.41,72.6,1.0,2.12,0.0,377.1,6.91,153.0,101427.0
20100104:0100,16.47,68.44,1.0,1.54,0.0,375.85,7.32,151.0,101400.0
20100104:0200,16.53,64.29,1.0,1.26,0.0,374.6,7.74,148.0,101373.0
20100104:0300,16.39,61.46,1.0,1.11,0.0,371.55,7.75,147.0,101317.0
20100104:0400,16.24,58.62,1.0,1.04,0.0,368.5,7.77,146.0,101260.0
20100104:0500,16.1,55.79,1.0,1.03,0.0,365.45,7.78,145.0,101204.0
20100104:0600,16.0,56.96,1.0,1.07,0.0,363.92,7.81,143.0,101187.0
20100104:0700,15.9,58.13,1.0,1.18,0.0,362.38,7.83,140.0,101170.0
20100104:0800,15.81,59.3,1.0,1.4,0.0,360.85,7.86,138.0,101154.0
20100104:0900,15.71,62.89,1.0,1.82,0.0,361.82,7.71,134.0,101207.0
20100104:1000,15.62,66.47,1.0,2.77,0.0,362.78,7.55,129.0,101260.0
20100104:1100,15.52,70.06,1.0,6.1,0.0,363.75,7.39,125.0,101314.0
20100104:1200,15.42,72.33,0.0,-0.0,0.0,363.47,7.14,119.0,101307.0
20100104:1300,15.31,74.6,0.0,-0.0,0.0,363.18,6.88,114.0,101300.0
20100104:1400,15.21,76.87,0.0,-0.0,0.0,362.9,6.62,108.0,101294.0
20100104:1500,15.11,78.21,0.0,-0.0,0.0,363.77,6.6,110.0,101287.0
20100104:1600,15.01,79.54,0.0,-0.0,0.0,364.63,6.57,112.0,101280.0
20100104:1700,14.91,80.88,0.0,-0.0,0.0,365.5,6.55,113.0,101274.0
20100104:1800,14.88,81.22,0.0,-0.0,0.0,368.03,6.82,110.0,101270.0
20100104:1900,14.86,81.55,0.0,-0.0,0.0,370.57,7.09,107.0,101267.0
20100104:2000,14.84,81.89,0.0,-0.0,0.0,373.1,7.35,104.0,101264.0
20100104:2100,15.05,78.91,0.0,-0.0,0.0,373.57,7.54,100.0,101254.0
20100104:2200,15.26,75.92,1.0,12.2,0.0,374.03,7.72,97.0,101244.0
20100104:2300,15.48,72.94,1.0,3.58,0.0,374.5,7.9,93.0,101234.0
20100105:0000,15.7,67.96,1.0,2.13,0.0,373.08,8.33,96.0,101184.0
20100105:0100,15.92,62.97,1.0,1.55,0.0,371.67,8.75,99.0,101134.0
20100105:0200,16.14,57.99,1.0,1.26,0.0,370.25,9.17,103.0,101084.0
20100105:0300,16.53,54.63,1.0,1.11,0.0,364.38,9.27,102.0,101008.0
20100105:0400,16.92,51.26,1.0,1.04,0.0,358.52,9.37,102.0,100931.0
20100105:0500,17.31,47.9,1.0,1.03,0.0,352.65,9.46,102.0,100854.0
20100105:0600,17.58,48.22,1.0,1.07,0.0,346.47,9.54,102.0,100795.0
20100105:0700,17.85,48.54,1.0,1.18,0.0,340.28,9.63,103.0,100735.0
20100105:0800,18.13,48.86,1.0,1.4,0.0,334.1,9.71,104.0,100675.0
20100105:0900,18.14,52.75,1.0,1.82,0.0,334.7,9.66,102.0,100685.0
20100105:1000,18.15,56.63,1.0,2.77,0.0,335.3,9.6,100.0,100695.0
20100105:1100,18.16,60.52,1.0,6.08,0.0,335.9,9.54,98.0,100705.0
20100105:1200,18.08,63.83,0.0,-0.0,0.0,346.0,9.26,95.0,100692.0
20100105:1300,18.0,67.14,0.0,-0.0,0.0,356.1,8.97,91.0,100678.0
20100105:1400,17.92,70.45,0.0,-0.0,0.0,366.2,8.69,88.0,100665.0
20100105:1500,18.02,72.41,0.0,-0.0,0.0,363.08,8.36,84.0,100612.0
20100105:1600,18.12,74.37,0.0,-0.0,0.0,359.97,8.04,79.0,100558.0
20100105:1700,18.22,76.33,0.0,-0.0,0.0,356.85,7.71,75.0,100505.0
20100105:1800,18.29,77.4,0.0,-0.0,0.0,349.65,7.54,73.0,100442.0
20100105:1900,18.36,78.48,0.0,-0.0,0.0,342.45,7.38,70.0,100379.0
20100105:2000,18.43,79.55,0.0,-0.0,0.0,335.25,7.21,68.0,100316.0
20100105:2100,18.72,74.91,0.0,-0.0,0.0,335.93,6.49,67.0,100282.0
20100105:2200,19.01,70.26,1.0,12.59,0.0,336.62,5.76,65.0,100249.0
20100105:2300,19.31,65.62,1.0,3.62,0.0,337.3,5.03,64.0,100216.0
20100106:0000,20.03,60.47,1.0,2.14,0.0,334.42,3.58,51.0,100153.0
20100106:0100,20.76,55.33,1.0,1.55,0.0,331.53,2.12,37.0,100089.0
20100106:0200,21.48,50.18,1.0,1.26,0.0,328.65,0.66,24.0,100026.0
