Latitude (decimal degrees): 38.857
Longitude (decimal degrees): -77.085
Elevation (m): 59.0
month,year
12,009
22,010
32,009
42,009
52,015
62,011
72,012
82,014
92,014
102,015
112,010
122,011
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20090101:0000,2.99,52.01,0.0,-0.0,0.0,240.27,5.1,315.0,101272.0
20090101:0100,1.43,49.53,0.0,-0.0,0.0,231.15,5.28,315.0,101375.0
20090101:0200,-0.13,47.04,0.0,-0.0,0.0,222.04,5.45,315.0,101477.0
20090101:0300,-1.69,44.56,0.0,-0.0,0.0,212.93,5.62,315.0,101514.0
20090101:0400,-3.25,42.08,0.0,-0.0,0.0,203.81,5.79,315.0,101550.0
20090101:0500,-4.81,39.6,0.0,-0.0,0.0,194.7,5.97,315.0,101586.0
20090101:0600,-6.36,37.11,0.0,-0.0,0.0,185.59,6.14,315.0,101653.0
20090101:0700,-7.92,34.63,0.0,-0.0,0.0,176.47,6.31,316.0,101719.0
20090101:0800,-4.81,39.32,0.0,-0.0,0.0,192.7,5.31,316.0,101785.0
20090101:0900,-4.71,39.59,0.0,-0.0,0.0,192.07,5.17,317.0,101851.0
20090101:1000,-4.61,39.85,0.0,-0.0,0.0,191.43,5.03,319.0,101917.0
20090101:1100,-4.51,40.12,0.0,-0.0,0.0,190.8,4.88,320.0,101984.0
20090101:1200,-3.93,40.45,0.0,-0.0,0.0,191.67,4.89,322.0,102073.0
20090101:1300,-3.34,40.78,56.0,358.62,27.0,192.53,4.9,324.0,102162.0
20090101:1400,-2.76,41.11,219.0,676.72,60.0,193.4,4.91,326.0,102252.0
20090101:1500,-1.9,40.33,365.0,816.68,74.0,194.68,4.23,325.0,102189.0
20090101:1600,-1.04,39.55,350.0,457.99,150.0,195.97,3.56,323.0,102126.0
20090101:1700,-0.18,38.77,435.0,711.87,100.0,197.25,2.88,321.0,102063.0
20090101:1800,-0.27,42.25,490.0,895.3,82.0,200.0,2.18,310.0,102010.0
20090101:1900,-0.36,45.72,411.0,852.28,76.0,202.75,1.48,300.0,101957.0
20090101:2000,-0.45,49.2,283.0,766.78,63.0,205.5,0.77,289.0,101904.0
20090101:2100,-1.46,50.05,127.0,636.67,35.0,206.68,1.04,258.0,101891.0
20090101:2200,-2.47,50.9,0.0,-0.0,0.0,207.87,1.31,227.0,101878.0
20090101:2300,-3.48,51.75,0.0,-0.0,0.0,209.05,1.57,196.0,101864.0
20090102:0000,-3.47,50.22,0.0,-0.0,0.0,209.28,2.03,191.0,101802.0
20090102:0100,-3.46,48.68,0.0,-0.0,0.0,209.52,2.48,186.0,101739.0
20090102:0200,-3.45,47.15,0.0,-0.0,0.0,209.75,2.94,181.0,101676.0
20090102:0300,-3.26,45.77,0.0,-0.0,0.0,211.97,3.31,183.0,101593.0
20090102:0400,-3.06,44.38,0.0,-0.0,0.0,214.18,3.69,186.0,101510.0
20090102:0500,-2.87,43.0,0.0,-0.0,0.0,216.4,4.07,188.0,101428.0
20090102:0600,-2.44,41.39,0.0,-0.0,0.0,229.95,4.34,192.0,101351.0
20090102:0700,-2.01,39.79,0.0,-0.0,0.0,243.5,4.61,195.0,101275.0
20090102:0800,-1.58,38.18,0.0,-0.0,0.0,257.05,4.88,198.0,101199.0
20090102:0900,-1.09,37.33,0.0,-0.0,0.0,266.78,5.03,201.0,101116.0
20090102:1000,-0.6,36.49,0.0,-0.0,0.0,276.52,5.18,204.0,101034.0
20090102:1100,-0.12,35.64,0.0,-0.0,0.0,286.25,5.32,207.0,100951.0
20090102:1200,0.43,38.67,0.0,-0.0,0.0,289.35,5.62,209.0,100901.0
20090102:1300,0.99,41.7,13.0,0.0,13.0,292.45,5.92,211.0,100852.0
20090102:1400,1.54,44.73,13.0,0.0,13.0,295.55,6.22,214.0,100802.0
20090102:1500,2.78,49.08,59.0,0.0,59.0,295.72,6.0,215.0,100703.0
20090102:1600,4.02,53.44,57.0,0.0,57.0,295.88,5.78,217.0,100603.0
20090102:1700,5.26,57.79,116.0,0.0,116.0,296.05,5.56,219.0,100504.0
20090102:1800,5.85,58.59,246.0,96.21,202.0,287.33,5.23,222.0,100448.0
20090102:1900,6.43,59.38,399.0,822.85,74.0,278.62,4.9,225.0,100391.0
20090102:2000,7.02,60.18,277.0,743.81,62.0,269.9,4.57,228.0,100335.0
20090102:2100,6.18,60.06,125.0,613.14,35.0,262.42,4.46,233.0,100362.0
20090102:2200,5.34,59.93,0.0,-0.0,0.0,254.93,4.35,238.0,100388.0
20090102:2300,4.5,59.81,0.0,-0.0,0.0,247.45,4.25,243.0,100415.0
20090103:0000,4.31,58.74,0.0,-0.0,0.0,249.07,4.37,250.0,100431.0
20090103:0100,4.12,57.66,0.0,-0.0,0.0,250.68,4.5,256.0,100448.0
20090103:0200,3.93,56.59,0.0,-0.0,0.0,252.3,4.62,263.0,100464.0
20090103:0300,3.79,54.23,0.0,-0.0,0.0,250.83,4.47,273.0,100540.0
20090103:0400,3.65,51.86,0.0,-0.0,0.0,249.37,4.32,283.0,100617.0
20090103:0500,3.51,49.5,0.0,-0.0,0.0,247.9,4.17,293.0,100693.0
20090103:0600,2.96,48.13,0.0,-0.0,0.0,245.22,3.87,299.0,100785.0
20090103:0700,2.41,46.77,0.0,-0.0,0.0,242.53,3.57,304.0,100878.0
20090103:0800,1.85,45.4,0.0,-0.0,0.0,239.85,3.27,310.0,100971.0
20090103:0900,1.04,45.69,0.0,-0.0,0.0,236.75,2.95,312.0,101040.0
20090103:1000,0.23,45.97,0.0,-0.0,0.0,233.65,2.63,314.0,101110.0
20090103:1100,-0.59,46.26,0.0,-0.0,0.0,230.55,2.3,315.0,101179.0
20090103:1200,0.78,49.81,0.0,-0.0,0.0,231.55,2.33,311.0,101262.0
20090103:1300,2.16,53.37,52.0,322.48,26.0,232.55,2.35,307.0,101345.0
20090103:1400,3.53,56.92,209.0,641.65,58.0,233.55,2.37,303.0,101428.0
20090103:1500,4.67,53.41,350.0,777.82,72.0,234.72,2.64,303.0,101391.0
20090103:1600,5.82,49.89,448.0,839.14,80.0,235.88,2.91,303.0,101355.0
20090103:1700,6.96,46.38,491.0,864.33,82.0,237.05,3.19,303.0,101318.0
20090103:1800,6.89,49.83,474.0,856.17,81.0,238.85,2.69,305.0,101305.0
20090103:1900,6.81,53.28,399.0,816.17,75.0,240.65,2.18,307.0,101292.0
20090103:2000,6.74,56.73,276.0,731.24,63.0,242.45,1.68,309.0,101279.0
20090103:2100,4.95,61.39,125.0,596.69,36.0,241.88,1.81,318.0,101322.0
20090103:2200,3.15,66.06,0.0,-0.0,0.0,241.32,1.94,326.0,101365.0
20090103:2300,1.36,70.72,0.0,-0.0,0.0,240.75,2.07,335.0,101408.0
20090104:0000,0.88,71.62,0.0,-0.0,0.0,241.13,1.96,338.0,101431.0
20090104:0100,0.4,72.52,0.0,-0.0,0.0,241.52,1.86,342.0,101454.0
20090104:0200,-0.07,73.42,0.0,-0.0,0.0,241.9,1.75,345.0,101477.0
20090104:0300,-0.63,75.91,0.0,-0.0,0.0,241.05,1.68,340.0,101490.0
20090104:0400,-1.2,78.39,0.0,-0.0,0.0,240.2,1.61,335.0,101504.0
20090104:0500,-1.76,80.88,0.0,-0.0,0.0,239.35,1.54,331.0,101517.0
20090104:0600,-2.02,82.66,0.0,-0.0,0.0,239.23,1.38,334.0,101504.0
20090104:0700,-2.29,84.44,0.0,-0.0,0.0,239.12,1.21,337.0,101490.0
20090104:0800,-2.56,86.22,0.0,-0.0,0.0,239.0,1.05,341.0,101477.0
20090104:0900,-2.36,86.23,0.0,-0.0,0.0,240.85,1.02,353.0,101471.0
20090104:1000,-2.16,86.24,0.0,-0.0,0.0,242.7,0.98,5.0,101464.0
20090104:1100,-1.97,86.25,0.0,-0.0,0.0,244.55,0.95,17.0,101457.0
20090104:1200,-0.92,79.98,0.0,-0.0,0.0,248.2,0.72,342.0,101484.0
20090104:1300,0.12,73.72,37.0,136.37,26.0,251.85,0.49,307.0,101510.0
20090104:1400,1.17,67.45,149.0,275.79,84.0,255.5,0.26,272.0,101537.0
20090104:1500,2.67,67.39,216.0,184.29,150.0,260.18,0.9,256.0,101461.0
20090104:1600,4.16,67.34,432.0,805.21,78.0,264.87,1.53,240.0,101385.0
20090104:1700,5.66,67.28,474.0,827.94,81.0,269.55,2.17,223.0,101308.0
20090104:1800,6.01,75.39,459.0,822.41,80.0,276.05,2.05,219.0,101242.0
20090104:1900,6.36,83.51,200.0,75.17,170.0,282.55,1.93,214.0,101176.0
20090104:2000,6.71,91.62,93.0,0.0,93.0,289.05,1.81,209.0,101110.0
20090104:2100,6.3,94.41,42.0,0.0,42.0,294.92,2.05,204.0,101077.0
20090104:2200,5.89,97.21,0.0,-0.0,0.0,300.78,2.29,199.0,101044.0
20090104:2300,5.49,100.0,0.0,-0.0,0.0,306.65,2.54,194.0,101010.0
20090105:0000,4.79,100.0,0.0,-0.0,0.0,297.0,2.54,196.0,100997.0
20090105:0100,4.09,100.0,0.0,-0.0,0.0,287.35,2.55,197.0,100984.0
20090105:0200,3.39,100.0,0.0,-0.0,0.0,277.7,2.55,198.0,100971.0
20090105:0300,3.98,100.0,0.0,-0.0,0.0,279.65,2.64,206.0,100931.0
20090105:0400,4.58,100.0,0.0,-0.0,0.0,281.6,2.73,215.0,100891.0
20090105:0500,5.17,100.0,0.0,-0.0,0.0,283.55,2.81,223.0,100852.0
20090105:0600,5.4,98.64,0.0,-0.0,0.0,291.07,2.72,240.0,100862.0
20090105:0700,5.63,97.27,0.0,-0.0,0.0,298.58,2.62,258.0,100871.0
20090105:0800,5.85,95.91,0.0,-0.0,0.0,306.1,2.52,276.0,100881.0
20090105:0900,5.69,93.91,0.0,-0.0,0.0,307.12,2.46,288.0,100921.0
20090105:1000,5.53,91.9,0.0,-0.0,0.0,308.13,2.4,301.0,100961.0
20090105:1100,5.37,89.9,0.0,-0.0,0.0,309.15,2.33,314.0,101001.0
20090105:1200,6.25,87.68,0.0,-0.0,0.0,308.97,2.63,319.0,101037.0
20090105:1300,7.13,85.47,2.0,0.0,2.0,308.78,2.92,324.0,101073.0
20090105:1400,8.01,83.25,37.0,0.0,37.0,308.6,3.21,330.0,101110.0
20090105:1500,8.7,77.26,162.0,50.15,144.0,309.93,3.31,326.0,101083.0
20090105:1600,9.38,71.28,279.0,195.08,193.0,311.27,3.4,322.0,101057.0
20090105:1700,10.07,65.29,198.0,25.2,186.0,312.6,3.49,318.0,101030.0
20090105:1800,9.75,64.18,234.0,73.47,200.0,317.57,3.11,317.0,101017.0
20090105:1900,9.43,63.06,147.0,4.98,145.0,322.53,2.74,316.0,101004.0
20090105:2000,9.11,61.95,59.0,0.0,59.0,327.5,2.36,316.0,100991.0
20090105:2100,7.78,62.34,39.0,0.0,39.0,317.57,2.51,319.0,101044.0
20090105:2200,6.46,62.73,0.0,-0.0,0.0,307.63,2.65,322.0,101097.0
20090105:2300,5.14,63.12,0.0,-0.0,0.0,297.7,2.8,325.0,101149.0
20090106:0000,5.06,63.3,0.0,-0.0,0.0,309.75,3.02,331.0,101143.0
20090106:0100,4.98,63.47,0.0,-0.0,0.0,321.8,3.23,337.0,101136.0
20090106:0200,4.91,63.65,0.0,-0.0,0.0,333.85,3.45,343.0,101130.0
20090106:0300,4.35,66.26,0.0,-0.0,0.0,333.15,3.41,345.0,101106.0
20090106:0400,3.79,68.86,0.0,-0.0,0.0,332.45,3.37,347.0,101083.0
20090106:0500,3.23,71.47,0.0,-0.0,0.0,331.75,3.34,349.0,101060.0
20090106:0600,2.53,74.14,0.0,-0.0,0.0,330.73,2.96,360.0,101063.0
20090106:0700,1.83,76.8,0.0,-0.0,0.0,329.72,2.58,10.0,101067.0
20090106:0800,1.12,79.47,0.0,-0.0,0.0,328.7,2.21,21.0,101070.0
20090106:0900,0.96,82.74,0.0,-0.0,0.0,326.93,2.42,33.0,101040.0
20090106:1000,0.8,86.01,0.0,-0.0,0.0,325.17,2.64,46.0,101010.0
20090106:1100,0.64,89.28,0.0,-0.0,0.0,323.4,2.86,59.0,100981.0
20090106:1200,0.59,86.93,0.0,-0.0,0.0,323.42,2.91,68.0,100991.0
20090106:1300,0.53,84.59,19.0,0.0,19.0,323.43,2.96,77.0,101001.0
20090106:1400,0.48,82.24,35.0,0.0,35.0,323.45,3.01,86.0,101010.0
20090106:1500,0.58,84.22,89.0,0.0,89.0,323.63,3.2,86.0,100908.0
20090106:1600,0.67,86.21,81.0,0.0,81.0,323.82,3.4,87.0,100805.0
20090106:1700,0.77,88.19,33.0,0.0,33.0,324.0,3.6,87.0,100703.0
20090106:1800,0.96,89.92,66.0,0.0,66.0,324.9,3.45,87.0,100607.0
20090106:1900,1.15,91.65,93.0,0.0,93.0,325.8,3.3,87.0,100511.0
20090106:2000,1.34,93.38,41.0,0.0,41.0,326.7,3.14,88.0,100415.0
20090106:2100,1.53,93.25,14.0,0.0,14.0,328.43,2.91,86.0,100375.0
20090106:2200,1.72,93.13,0.0,-0.0,0.0,330.17,2.69,85.0,100335.0
20090106:2300,1.91,93.0,0.0,-0.0,0.0,331.9,2.46,84.0,100295.0
20090107:0000,1.48,91.86,0.0,-0.0,0.0,331.78,2.42,91.0,100239.0
20090107:0100,1.06,90.71,0.0,-0.0,0.0,331.67,2.39,98.0,100183.0
20090107:0200,0.64,89.57,0.0,-0.0,0.0,331.55,2.36,106.0,100127.0
20090107:0300,1.34,89.19,0.0,-0.0,0.0,333.42,2.66,113.0,99968.0
20090107:0400,2.05,88.81,0.0,-0.0,0.0,335.28,2.97,121.0,99809.0
20090107:0500,2.75,88.43,0.0,-0.0,0.0,337.15,3.27,129.0,99650.0
20090107:0600,4.92,87.66,0.0,-0.0,0.0,341.38,3.77,138.0,99491.0
20090107:0700,7.09,86.9,0.0,-0.0,0.0,345.62,4.26,147.0,99332.0
20090107:0800,9.26,86.13,0.0,-0.0,0.0,349.85,4.76,156.0,99173.0
20090107:0900,11.13,82.6,0.0,-0.0,0.0,358.48,5.65,165.0,98981.0
20090107:1000,13.0,79.06,0.0,-0.0,0.0,367.12,6.54,174.0,98789.0
20090107:1100,14.87,75.53,0.0,-0.0,0.0,375.75,7.43,182.0,98597.0
20090107:1200,14.21,78.65,0.0,-0.0,0.0,376.4,7.13,193.0,98587.0
20090107:1300,13.56,81.78,3.0,0.0,3.0,377.05,6.83,205.0,98578.0
20090107:1400,12.9,84.9,33.0,0.0,33.0,377.7,6.52,216.0,98568.0
20090107:1500,12.85,85.62,201.0,130.21,154.0,381.68,6.75,241.0,98445.0
20090107:1600,12.79,86.33,62.0,0.0,62.0,385.67,6.97,267.0,98323.0
20090107:1700,12.74,87.05,16.0,0.0,16.0,389.65,7.2,292.0,98200.0
20090107:1800,12.67,87.98,78.0,0.0,78.0,381.87,7.42,277.0,98160.0
20090107:1900,12.6,88.92,6.0,0.0,6.0,374.08,7.64,262.0,98121.0
20090107:2000,12.53,89.85,104.0,0.0,104.0,366.3,7.86,247.0,98081.0
20090107:2100,10.31,84.72,31.0,0.0,31.0,350.83,8.21,253.0,98207.0
20090107:2200,8.1,79.6,0.0,-0.0,0.0,335.37,8.55,259.0,98333.0
20090107:2300,5.89,74.47,0.0,-0.0,0.0,319.9,8.9,265.0,98458.0
20090108:0000,4.63,76.48,0.0,-0.0,0.0,324.75,8.55,268.0,98561.0
20090108:0100,3.37,78.5,0.0,-0.0,0.0,329.6,8.2,271.0,98664.0
20090108:0200,2.12,80.51,0.0,-0.0,0.0,334.45,7.85,274.0,98766.0
20090108:0300,1.66,80.87,0.0,-0.0,0.0,308.45,7.09,266.0,98859.0
20090108:0400,1.2,81.23,0.0,-0.0,0.0,282.45,6.34,259.0,98952.0
20090108:0500,0.74,81.59,0.0,-0.0,0.0,256.45,5.59,251.0,99044.0
20090108:0600,0.76,78.48,0.0,-0.0,0.0,247.68,5.87,251.0,99127.0
20090108:0700,0.78,75.37,0.0,-0.0,0.0,238.92,6.15,251.0,99210.0
20090108:0800,0.79,72.26,0.0,-0.0,0.0,230.15,6.43,251.0,99293.0
20090108:0900,0.88,69.48,0.0,-0.0,0.0,229.02,6.2,251.0,99359.0
20090108:1000,0.96,66.7,0.0,-0.0,0.0,227.88,5.98,252.0,99425.0
20090108:1100,1.04,63.92,0.0,-0.0,0.0,226.75,5.75,252.0,99491.0
20090108:1200,1.94,61.81,0.0,-0.0,0.0,233.63,5.87,254.0,99521.0
20090108:1300,2.83,59.69,54.0,341.98,26.0,240.52,5.98,256.0,99551.0
20090108:1400,3.73,57.58,216.0,659.08,59.0,247.4,6.1,258.0,99581.0
