time,F1_ORIGINAL
0.1,0
0.199999,0
0.299998,0
0.399997,0
0.499995,0
0.599994,0
0.699993,0
0.799992,0
0.899991,0
0.99999,0
1.09999,0
1.19999,0
1.29999,0
1.39999,0
1.49998,0
1.59998,0
1.69998,0
1.79998,0
1.89998,0
1.99998,0
2.09998,0
2.19998,0
2.29997,0
2.39997,0
2.49997,0
2.59997,0
2.69997,0
2.79997,0
2.89997,0
2.99997,0
3.09997,0
3.19996,0
3.29996,0
3.39996,0
3.49996,0
3.59996,0
3.69996,0
3.79996,0
3.89996,0
3.99996,0
4.09995,0
4.19995,0
4.29995,0
4.39995,0
4.49995,0
4.59995,0
4.69995,0
4.79995,0
4.89995,0
4.99994,0
5.09994,0
5.19994,0
5.29994,0
5.39994,0
5.49994,0
5.59994,0
5.69994,0
5.79993,0
5.89993,0
5.99993,0
6.09993,0
6.19993,0
6.29993,0
6.39993,0
6.49993,0
6.59993,0
6.69992,0
6.79992,0
6.89992,0
6.99992,0
7.09992,0
7.19992,0
7.29992,0
7.39992,0
7.49992,0
7.59991,11.6979
7.69991,25.7568
7.79991,39.653
7.89991,53.3769
7.99991,66.919
8.09991,97.5916
8.19991,113.58
8.29991,129.315
8.39991,144.784
8.4999,159.978
8.5999,174.886
8.6999,189.497
8.7999,203.802
8.8999,217.791
8.9999,231.454
9.0999,232.466
9.1999,244.797
9.29989,256.792
9.39989,268.444
9.49989,279.744
9.59989,290.684
9.69989,301.258
9.79989,311.458
9.89989,321.277
9.99989,330.707
10.0999,333.281
10.1999,341.753
10.2999,349.826
10.3999,357.495
10.4999,364.755
10.5999,371.6
10.6999,378.026
10.7999,384.029
10.8999,389.604
10.9999,394.747
11.0999,349.9
11.1999,353.641
11.2999,356.995
11.3999,359.96
11.4999,362.534
11.5999,364.716
11.6999,366.504
11.7999,367.897
11.8999,368.893
11.9999,369.493
12.0999,421.346
12.1999,421.124
12.2999,420.448
12.3999,419.32
12.4999,417.741
12.5999,415.711
12.6999,413.232
12.7999,410.305
12.8999,406.933
12.9999,403.118
13.0999,423.016
13.1999,418.039
13.2998,412.6
13.3998,406.705
13.4998,400.357
13.5998,393.56
