Latitude (decimal degrees): 24.464
Longitude (decimal degrees): 54.366
Elevation (m): 8.0
month,year
12,008
22,008
32,012
42,010
52,013
62,012
72,008
82,008
92,016
102,013
112,007
122,008
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20080101:0000,19.16,71.19,0.0,-0.0,0.0,308.86,2.1,73.0,101680.0
20080101:0100,19.07,70.13,0.0,-0.0,0.0,307.6,1.97,84.0,101717.0
20080101:0200,18.98,69.07,0.0,-0.0,0.0,306.35,1.83,95.0,101753.0
20080101:0300,18.89,68.01,0.0,-0.0,0.0,305.09,1.7,100.0,101793.0
20080101:0400,18.8,66.95,84.0,226.39,54.0,303.83,1.57,104.0,101833.0
20080101:0500,18.71,65.9,294.0,568.36,109.0,302.58,1.43,108.0,101873.0
20080101:0600,18.63,64.84,483.0,721.25,133.0,301.32,1.3,159.0,101807.0
20080101:0700,18.54,63.78,624.0,792.1,148.0,300.06,1.17,210.0,101740.0
20080101:0800,21.71,62.61,706.0,839.58,148.0,329.4,1.17,261.0,101674.0
20080101:0900,21.88,61.33,722.0,873.54,135.0,330.2,1.67,275.0,101630.0
20080101:1000,22.05,60.06,617.0,673.08,198.0,331.0,2.17,289.0,101587.0
20080101:1100,22.22,58.78,517.0,712.09,147.0,331.8,2.68,303.0,101544.0
20080101:1200,21.72,57.37,328.0,526.69,133.0,326.53,2.74,314.0,101580.0
20080101:1300,21.22,55.96,136.0,352.09,71.0,321.27,2.8,326.0,101617.0
20080101:1400,20.72,54.55,0.0,-0.0,0.0,316.0,2.86,337.0,101654.0
20080101:1500,20.49,55.81,0.0,-0.0,0.0,314.62,2.79,350.0,101664.0
20080101:1600,20.26,57.07,0.0,-0.0,0.0,313.23,2.72,3.0,101674.0
20080101:1700,20.03,58.33,0.0,-0.0,0.0,311.85,2.65,16.0,101684.0
20080101:1800,19.67,58.73,0.0,-0.0,0.0,310.03,2.52,29.0,101657.0
20080101:1900,19.32,59.13,0.0,-0.0,0.0,308.22,2.4,43.0,101630.0
20080101:2000,18.96,59.53,0.0,-0.0,0.0,306.4,2.28,57.0,101604.0
20080101:2100,18.68,60.13,0.0,-0.0,0.0,304.48,2.3,65.0,101587.0
20080101:2200,18.41,60.72,0.0,-0.0,0.0,302.57,2.32,72.0,101570.0
20080101:2300,18.13,61.32,0.0,-0.0,0.0,300.65,2.34,79.0,101554.0
20080102:0000,17.84,63.04,0.0,-0.0,0.0,300.83,2.54,93.0,101580.0
20080102:0100,17.54,64.75,0.0,-0.0,0.0,301.02,2.74,107.0,101607.0
20080102:0200,17.24,66.47,0.0,-0.0,0.0,301.2,2.94,120.0,101634.0
20080102:0300,18.36,67.07,0.0,-0.0,0.0,303.68,2.76,128.0,101677.0
20080102:0400,19.47,67.67,88.0,273.25,52.0,306.17,2.58,136.0,101720.0
20080102:0500,20.59,68.27,293.0,569.14,108.0,308.65,2.4,144.0,101763.0
20080102:0600,21.68,65.36,467.0,643.02,155.0,316.73,2.69,159.0,101690.0
20080102:0700,22.78,62.44,583.0,626.96,206.0,324.82,2.97,175.0,101617.0
20080102:0800,23.87,59.53,699.0,809.98,160.0,332.9,3.26,190.0,101544.0
20080102:0900,23.98,57.77,697.0,767.93,180.0,333.93,3.0,199.0,101490.0
20080102:1000,24.09,56.01,647.0,786.66,156.0,334.97,2.74,207.0,101437.0
20080102:1100,24.2,54.25,502.0,636.57,170.0,336.0,2.48,216.0,101384.0
20080102:1200,23.58,53.35,340.0,582.7,123.0,331.22,1.9,237.0,101437.0
20080102:1300,22.97,52.46,145.0,422.71,66.0,326.43,1.31,258.0,101490.0
20080102:1400,22.36,51.56,0.0,-0.0,0.0,321.65,0.73,279.0,101544.0
