Latitude (decimal degrees): -18.893
Longitude (decimal degrees): 47.501
Elevation (m): 1248.0
month,year
12,015
22,015
32,015
42,015
52,015
62,009
72,012
82,008
92,016
102,008
112,013
122,015
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,19.31,93.65,0.0,-0.0,0.0,394.2,1.86,282.0,87067.0
20150101:0100,19.51,92.48,0.0,-0.0,0.0,394.16,1.9,282.0,87133.0
20150101:0200,19.71,91.3,0.0,-0.0,0.0,394.12,1.94,282.0,87199.0
20150101:0300,19.91,90.12,27.0,58.79,23.0,394.08,1.98,283.0,87217.0
20150101:0400,20.11,88.94,254.0,562.87,88.0,394.04,2.02,284.0,87234.0
20150101:0500,20.31,87.76,499.0,752.46,115.0,394.0,2.06,286.0,87251.0
20150101:0600,20.51,86.58,663.0,621.8,228.0,393.96,2.1,296.0,87217.0
20150101:0700,20.71,85.41,943.0,1036.74,62.0,393.92,2.14,306.0,87182.0
20150101:0800,22.73,80.5,951.0,704.75,281.0,395.65,2.74,316.0,87148.0
20150101:0900,22.58,84.03,1133.0,1096.99,41.0,399.83,3.04,324.0,87125.0
20150101:1000,22.43,87.55,759.0,264.02,500.0,404.02,3.34,332.0,87102.0
20150101:1100,22.28,91.08,191.0,0.0,191.0,408.2,3.64,340.0,87079.0
20150101:1200,21.44,93.18,773.0,710.68,217.0,410.22,3.16,342.0,87102.0
20150101:1300,20.6,95.28,87.0,0.0,87.0,412.23,2.68,344.0,87125.0
20150101:1400,19.77,97.38,35.0,0.0,35.0,414.25,2.19,347.0,87148.0
20150101:1500,19.38,97.73,28.0,0.0,28.0,412.75,2.15,339.0,87179.0
20150101:1600,18.99,98.08,0.0,-0.0,0.0,411.25,2.1,330.0,87211.0
20150101:1700,18.6,98.43,0.0,-0.0,0.0,409.75,2.06,322.0,87242.0
20150101:1800,18.44,98.64,0.0,-0.0,0.0,406.68,1.9,314.0,87208.0
20150101:1900,18.29,98.84,0.0,-0.0,0.0,403.62,1.74,305.0,87174.0
20150101:2000,18.13,99.05,0.0,-0.0,0.0,400.55,1.59,296.0,87139.0
20150101:2100,18.25,99.07,0.0,-0.0,0.0,400.47,1.54,295.0,87108.0
20150101:2200,18.37,99.1,0.0,-0.0,0.0,400.38,1.49,294.0,87076.0
20150101:2300,18.49,99.12,0.0,-0.0,0.0,400.3,1.45,293.0,87044.0
20150102:0000,18.57,98.64,0.0,-0.0,0.0,397.4,1.73,297.0,87105.0
20150102:0100,18.65,98.15,0.0,-0.0,0.0,394.5,2.01,300.0,87165.0
20150102:0200,18.72,97.67,0.0,-0.0,0.0,391.6,2.29,304.0,87225.0
20150102:0300,19.62,95.45,30.0,106.28,23.0,393.3,2.48,317.0,87231.0
20150102:0400,20.52,93.24,213.0,303.84,124.0,395.0,2.67,331.0,87237.0
20150102:0500,21.42,91.02,330.0,155.33,251.0,396.7,2.86,345.0,87242.0
20150102:0600,21.7,90.02,661.0,621.58,227.0,400.15,3.12,345.0,87199.0
20150102:0700,21.99,89.02,932.0,999.0,84.0,403.6,3.39,345.0,87156.0
20150102:0800,22.27,88.02,185.0,0.0,185.0,407.05,3.66,346.0,87113.0
20150102:0900,22.19,87.21,977.0,651.97,328.0,408.4,3.49,344.0,87076.0
20150102:1000,22.1,86.4,1038.0,853.87,200.0,409.75,3.33,342.0,87039.0
20150102:1100,22.01,85.59,962.0,871.19,170.0,411.1,3.17,340.0,87001.0
20150102:1200,21.81,89.86,423.0,53.61,381.0,409.85,2.37,350.0,87036.0
20150102:1300,21.61,94.13,480.0,319.76,284.0,408.6,1.56,360.0,87070.0
20150102:1400,21.42,98.4,274.0,200.33,192.0,407.35,0.76,10.0,87105.0
20150102:1500,20.97,98.39,78.0,37.56,71.0,408.38,1.17,5.0,87154.0
20150102:1600,20.52,98.38,0.0,-0.0,0.0,409.42,1.59,360.0,87202.0
20150102:1700,20.08,98.37,0.0,-0.0,0.0,410.45,2.0,354.0,87251.0
20150102:1800,19.78,98.66,0.0,-0.0,0.0,407.72,2.07,345.0,87228.0
20150102:1900,19.47,98.94,0.0,-0.0,0.0,404.98,2.15,336.0,87205.0
20150102:2000,19.17,99.23,0.0,-0.0,0.0,402.25,2.22,326.0,87182.0
20150102:2100,19.04,99.3,0.0,-0.0,0.0,399.55,2.15,322.0,87156.0
20150102:2200,18.9,99.37,0.0,-0.0,0.0,396.85,2.07,317.0,87131.0
20150102:2300,18.77,99.44,0.0,-0.0,0.0,394.15,2.0,313.0,87105.0
20150103:0000,18.95,99.28,0.0,-0.0,0.0,396.0,2.15,318.0,87128.0
20150103:0100,19.13,99.13,0.0,-0.0,0.0,397.85,2.29,322.0,87151.0
20150103:0200,19.3,98.97,0.0,-0.0,0.0,399.7,2.44,327.0,87174.0
20150103:0300,20.11,98.1,28.0,94.25,22.0,402.02,2.54,336.0,87176.0
20150103:0400,20.93,97.23,163.0,103.13,133.0,404.33,2.63,345.0,87179.0
20150103:0500,21.74,96.36,406.0,366.96,220.0,406.65,2.73,353.0,87182.0
20150103:0600,21.9,96.25,347.0,35.88,322.0,409.97,2.94,349.0,87139.0
20150103:0700,22.07,96.14,339.0,5.9,334.0,413.28,3.15,344.0,87096.0
20150103:0800,22.23,96.03,716.0,237.96,490.0,416.6,3.37,339.0,87053.0
20150103:0900,22.02,96.31,604.0,87.4,517.0,418.9,2.64,334.0,87022.0
20150103:1000,21.8,96.6,1021.0,803.6,232.0,421.2,1.92,330.0,86990.0
