Latitude (decimal degrees): 39.572
Longitude (decimal degrees): 2.647
Elevation (m): 16.0
month,year
12,015
22,007
32,014
42,012
52,015
62,012
72,015
82,014
92,014
102,013
112,015
122,013
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,13.65,69.49,0.0,-0.0,0.0,297.64,3.19,54.0,102971.0
20150101:0100,13.45,69.11,0.0,-0.0,0.0,296.23,3.05,54.0,102958.0
20150101:0200,13.25,68.72,0.0,-0.0,0.0,294.82,2.91,54.0,102944.0
20150101:0300,13.05,68.34,0.0,-0.0,0.0,293.41,2.77,55.0,102994.0
20150101:0400,12.85,67.95,0.0,-0.0,0.0,292.0,2.64,56.0,103044.0
20150101:0500,12.65,67.56,0.0,-0.0,0.0,290.59,2.5,56.0,103094.0
20150101:0600,12.45,67.18,0.0,-0.0,0.0,289.18,2.36,53.0,103174.0
20150101:0700,12.25,66.79,0.0,-0.0,0.0,287.78,2.22,50.0,103254.0
20150101:0800,12.54,64.64,104.0,297.66,59.0,286.85,1.34,47.0,103334.0
20150101:0900,12.76,64.29,268.0,670.87,74.0,285.3,1.5,42.0,103354.0
20150101:1000,12.97,63.94,370.0,663.25,111.0,283.75,1.66,37.0,103374.0
20150101:1100,13.18,63.59,455.0,803.14,95.0,282.2,1.82,32.0,103394.0
20150101:1200,13.18,63.42,467.0,809.22,96.0,293.75,1.61,23.0,103357.0
20150101:1300,13.18,63.26,421.0,784.82,91.0,305.3,1.4,14.0,103320.0
20150101:1400,13.18,63.09,321.0,709.49,82.0,316.85,1.19,4.0,103284.0
20150101:1500,13.16,63.14,180.0,543.77,64.0,316.83,1.2,358.0,103320.0
20150101:1600,13.15,63.2,28.0,154.43,19.0,316.82,1.22,352.0,103357.0
20150101:1700,13.13,63.25,0.0,-0.0,0.0,316.8,1.24,346.0,103394.0
20150101:1800,13.1,63.81,0.0,-0.0,0.0,313.12,1.3,336.0,103414.0
20150101:1900,13.07,64.36,0.0,-0.0,0.0,309.43,1.35,325.0,103434.0
20150101:2000,13.04,64.92,0.0,-0.0,0.0,305.75,1.41,315.0,103454.0
20150101:2100,13.14,65.26,0.0,-0.0,0.0,298.62,2.01,312.0,103447.0
20150101:2200,13.25,65.61,0.0,-0.0,0.0,291.48,2.61,310.0,103440.0
20150101:2300,13.36,65.95,0.0,-0.0,0.0,284.35,3.21,308.0,103434.0
20150102:0000,13.41,65.55,0.0,-0.0,0.0,282.25,3.13,311.0,103394.0
20150102:0100,13.46,65.15,0.0,-0.0,0.0,280.15,3.04,313.0,103354.0
20150102:0200,13.52,64.75,0.0,-0.0,0.0,278.05,2.95,316.0,103314.0
20150102:0300,13.57,64.89,0.0,-0.0,0.0,279.12,2.9,322.0,103324.0
20150102:0400,13.63,65.03,0.0,-0.0,0.0,280.18,2.84,328.0,103334.0
20150102:0500,13.68,65.17,0.0,-0.0,0.0,281.25,2.79,334.0,103344.0
20150102:0600,13.7,64.78,0.0,-0.0,0.0,282.95,2.52,337.0,103407.0
20150102:0700,13.71,64.4,0.0,-0.0,0.0,284.65,2.25,340.0,103470.0
20150102:0800,13.72,64.01,121.0,509.36,44.0,286.35,1.99,343.0,103533.0
20150102:0900,13.94,64.0,271.0,697.76,69.0,286.73,2.13,330.0,103537.0
20150102:1000,14.15,63.99,391.0,795.02,80.0,287.12,2.27,317.0,103540.0
20150102:1100,14.36,63.98,458.0,816.82,91.0,287.5,2.41,303.0,103543.0
20150102:1200,14.38,66.93,475.0,852.37,83.0,288.4,2.44,296.0,103497.0
20150102:1300,14.4,69.88,425.0,798.13,88.0,289.3,2.47,289.0,103450.0
20150102:1400,14.42,72.83,323.0,711.14,82.0,290.2,2.5,281.0,103404.0
20150102:1500,14.41,73.82,185.0,575.29,61.0,289.47,2.44,282.0,103417.0
