Latitude (decimal degrees): 1.353
Longitude (decimal degrees): 103.814
Elevation (m): 55.0
month,year
12,008
22,011
32,010
42,010
52,011
62,009
72,009
82,009
92,012
102,012
112,010
122,013
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20080101:0000,26.59,81.47,105.5,292.9,67.6,428.47,7.01,16.0,100307.0
20080101:0100,26.84,79.81,35.0,0.0,35.0,427.93,7.38,15.0,100350.0
20080101:0200,27.1,78.15,169.0,0.0,169.0,427.4,7.74,14.0,100393.0
20080101:0300,27.36,76.48,493.0,169.39,369.0,426.87,8.11,15.0,100337.0
20080101:0400,27.62,74.82,486.0,74.3,423.0,426.33,8.48,15.0,100280.0
20080101:0500,27.88,73.16,571.0,114.87,467.0,425.8,8.84,16.0,100224.0
20080101:0600,28.14,71.49,479.0,49.97,434.0,425.26,9.21,16.0,100164.0
20080101:0700,28.4,69.83,513.0,106.77,424.0,424.73,9.57,16.0,100105.0
20080101:0800,28.28,71.82,400.0,76.13,346.0,427.05,9.38,16.0,100045.0
20080101:0900,28.07,72.76,335.0,141.79,259.0,427.92,9.26,16.0,100082.0
20080101:1000,27.85,73.7,167.0,76.79,142.0,428.78,9.15,15.0,100118.0
20080101:1100,27.64,74.64,36.0,54.16,31.0,429.65,9.03,15.0,100154.0
20080101:1200,27.18,74.26,0.0,-0.0,0.0,430.67,8.7,13.0,100244.0
20080101:1300,26.72,73.87,0.0,-0.0,0.0,431.68,8.36,12.0,100333.0
20080101:1400,26.25,73.49,0.0,-0.0,0.0,432.7,8.03,10.0,100423.0
20080101:1500,26.12,74.83,0.0,-0.0,0.0,432.75,8.27,11.0,100386.0
20080101:1600,25.98,76.18,0.0,-0.0,0.0,432.8,8.51,12.0,100350.0
20080101:1700,25.84,77.52,0.0,-0.0,0.0,432.85,8.74,13.0,100313.0
20080101:1800,25.75,80.47,0.0,-0.0,0.0,432.98,8.68,13.0,100297.0
20080101:1900,25.67,83.43,0.0,-0.0,0.0,433.12,8.61,14.0,100280.0
20080101:2000,25.59,86.38,0.0,-0.0,0.0,433.25,8.54,14.0,100264.0
20080101:2100,25.61,86.91,0.0,-0.0,0.0,433.03,8.24,12.0,100300.0
20080101:2200,25.64,87.44,0.0,-0.0,0.0,432.82,7.95,10.0,100337.0
20080101:2300,25.67,87.97,0.0,-0.0,0.0,432.6,7.66,8.0,100373.0
20080102:0000,26.17,84.64,205.0,892.41,91.0,429.75,7.75,10.0,100429.0
20080102:0100,26.68,81.32,257.0,281.54,156.0,426.9,7.85,11.0,100486.0
20080102:0200,27.19,77.99,184.0,1.77,183.0,424.05,7.94,13.0,100542.0
20080102:0300,27.34,78.79,178.0,0.0,178.0,423.23,7.89,11.0,100466.0
20080102:0400,27.5,79.6,332.0,5.9,327.0,422.42,7.83,10.0,100389.0
20080102:0500,27.66,80.4,312.0,1.1,311.0,421.6,7.78,9.0,100313.0
20080102:0600,27.53,79.96,161.0,0.0,161.0,420.78,7.74,8.0,100264.0
20080102:0700,27.4,79.52,160.0,0.0,160.0,419.97,7.71,8.0,100214.0
20080102:0800,27.27,79.08,139.0,0.0,139.0,419.15,7.67,7.0,100164.0
20080102:0900,27.13,80.06,82.0,0.0,82.0,420.52,7.92,7.0,100227.0
20080102:1000,26.98,81.04,84.0,0.0,84.0,421.88,8.17,8.0,100290.0
20080102:1100,26.84,82.02,23.0,0.0,23.0,423.25,8.43,8.0,100353.0
20080102:1200,26.67,80.86,0.0,-0.0,0.0,425.52,8.62,9.0,100416.0
20080102:1300,26.5,79.71,0.0,-0.0,0.0,427.78,8.8,10.0,100479.0
20080102:1400,26.33,78.55,0.0,-0.0,0.0,430.05,8.99,11.0,100542.0
20080102:1500,26.14,80.2,0.0,-0.0,0.0,428.52,8.96,10.0,100519.0
20080102:1600,25.94,81.85,0.0,-0.0,0.0,426.98,8.93,9.0,100495.0
20080102:1700,25.75,83.5,0.0,-0.0,0.0,425.45,8.9,8.0,100472.0
20080102:1800,25.59,84.81,0.0,-0.0,0.0,426.15,8.76,7.0,100433.0
20080102:1900,25.43,86.12,0.0,-0.0,0.0,426.85,8.62,6.0,100393.0
20080102:2000,25.28,87.43,0.0,-0.0,0.0,427.55,8.48,5.0,100353.0
20080102:2100,25.39,87.81,0.0,-0.0,0.0,426.98,8.51,6.0,100389.0
20080102:2200,25.5,88.18,0.0,-0.0,0.0,426.42,8.54,6.0,100426.0
20080102:2300,25.61,88.56,0.0,-0.0,0.0,425.85,8.57,6.0,100462.0
20080103:0000,25.95,86.96,19.0,0.0,19.0,426.7,9.13,6.0,100512.0
20080103:0100,26.29,85.35,28.0,0.0,28.0,427.55,9.69,6.0,100562.0
20080103:0200,26.63,83.75,49.0,0.0,49.0,428.4,10.25,5.0,100611.0
20080103:0300,26.7,81.94,83.0,0.0,83.0,428.55,10.15,6.0,100542.0
20080103:0400,26.77,80.12,137.0,0.0,137.0,428.7,10.05,7.0,100472.0
20080103:0500,26.84,78.31,265.0,0.0,265.0,428.85,9.94,7.0,100403.0
20080103:0600,26.69,78.53,305.0,1.11,304.0,427.47,9.85,6.0,100340.0
20080103:0700,26.54,78.76,571.0,171.01,428.0,426.08,9.75,5.0,100277.0
20080103:0800,26.39,78.98,488.0,183.86,357.0,424.7,9.66,4.0,100214.0
20080103:0900,26.32,80.27,145.0,0.0,145.0,424.87,9.51,2.0,100267.0
20080103:1000,26.25,81.56,71.0,0.0,71.0,425.03,9.36,1.0,100320.0
20080103:1100,26.18,82.85,16.0,0.0,16.0,425.2,9.21,359.0,100373.0
20080103:1200,26.11,82.16,0.0,-0.0,0.0,427.4,9.03,0.0,100436.0
20080103:1300,26.04,81.46,0.0,-0.0,0.0,429.6,8.84,2.0,100499.0
20080103:1400,25.97,80.77,0.0,-0.0,0.0,431.8,8.65,3.0,100562.0
20080103:1500,25.78,81.31,0.0,-0.0,0.0,431.62,8.45,1.0,100542.0
20080103:1600,25.59,81.85,0.0,-0.0,0.0,431.43,8.25,358.0,100522.0
20080103:1700,25.4,82.39,0.0,-0.0,0.0,431.25,8.06,356.0,100502.0
20080103:1800,25.27,84.0,0.0,-0.0,0.0,430.58,7.98,354.0,100469.0
20080103:1900,25.15,85.61,0.0,-0.0,0.0,429.92,7.9,351.0,100436.0
20080103:2000,25.03,87.22,0.0,-0.0,0.0,429.25,7.82,349.0,100403.0
20080103:2100,25.09,88.63,0.0,-0.0,0.0,427.87,7.86,349.0,100436.0
20080103:2200,25.16,90.04,0.0,-0.0,0.0,426.48,7.9,350.0,100469.0
20080103:2300,25.23,91.45,0.0,-0.0,0.0,425.1,7.94,350.0,100502.0
20080104:0000,25.89,87.2,22.0,0.0,22.0,424.58,8.22,355.0,100545.0
20080104:0100,26.54,82.96,55.0,0.0,55.0,424.07,8.5,360.0,100588.0
20080104:0200,27.2,78.71,136.0,0.0,136.0,423.55,8.77,5.0,100631.0
20080104:0300,27.37,79.65,387.0,54.76,347.0,424.92,8.76,6.0,100545.0
20080104:0400,27.55,80.58,582.0,172.21,436.0,426.28,8.75,7.0,100459.0
20080104:0500,27.72,81.52,676.0,238.22,460.0,427.65,8.74,8.0,100373.0
20080104:0600,27.4,83.05,693.0,269.03,450.0,427.4,8.66,7.0,100323.0
20080104:0700,27.09,84.58,582.0,183.87,428.0,427.15,8.58,6.0,100274.0
20080104:0800,26.77,86.11,360.0,42.01,330.0,426.9,8.5,5.0,100224.0
20080104:0900,26.67,85.41,157.0,0.0,157.0,426.82,8.49,6.0,100287.0
20080104:1000,26.58,84.71,65.0,0.0,65.0,426.73,8.48,6.0,100350.0
20080104:1100,26.48,84.01,25.0,10.21,24.0,426.65,8.47,7.0,100413.0
20080104:1200,26.16,83.61,0.0,-0.0,0.0,428.0,8.08,7.0,100479.0
20080104:1300,25.84,83.2,0.0,-0.0,0.0,429.35,7.69,7.0,100545.0
20080104:1400,25.51,82.8,0.0,-0.0,0.0,430.7,7.3,7.0,100611.0
20080104:1500,25.47,83.15,0.0,-0.0,0.0,430.25,7.19,4.0,100585.0
20080104:1600,25.42,83.49,0.0,-0.0,0.0,429.8,7.09,1.0,100558.0
20080104:1700,25.38,83.84,0.0,-0.0,0.0,429.35,6.98,358.0,100532.0
20080104:1800,25.32,85.32,0.0,-0.0,0.0,428.3,7.14,358.0,100486.0
20080104:1900,25.26,86.79,0.0,-0.0,0.0,427.25,7.29,357.0,100439.0
20080104:2000,25.2,88.27,0.0,-0.0,0.0,426.2,7.45,357.0,100393.0
20080104:2100,25.27,88.63,0.0,-0.0,0.0,425.4,7.36,357.0,100426.0
20080104:2200,25.35,88.99,0.0,-0.0,0.0,424.6,7.26,357.0,100459.0
20080104:2300,25.43,89.35,0.0,-0.0,0.0,423.8,7.17,357.0,100492.0
20080105:0000,25.93,87.47,33.0,0.0,33.0,423.47,7.6,2.0,100539.0
20080105:0100,26.43,85.6,77.0,0.0,77.0,423.13,8.03,8.0,100585.0
20080105:0200,26.94,83.72,383.0,195.76,273.0,422.8,8.46,13.0,100631.0
20080105:0300,27.12,82.37,492.0,168.47,369.0,422.55,8.17,12.0,100555.0
20080105:0400,27.31,81.01,591.0,185.16,434.0,422.3,7.88,12.0,100479.0
20080105:0500,27.49,79.66,770.0,397.89,409.0,422.05,7.59,12.0,100403.0
20080105:0600,27.14,81.92,885.0,673.49,276.0,422.35,7.4,12.0,100353.0
20080105:0700,26.78,84.18,163.0,0.0,163.0,422.65,7.22,12.0,100303.0
20080105:0800,26.43,86.44,224.0,0.0,224.0,422.95,7.03,12.0,100254.0
20080105:0900,26.4,86.78,141.0,0.0,141.0,422.17,6.97,11.0,100317.0
20080105:1000,26.37,87.12,30.0,0.0,30.0,421.38,6.91,10.0,100380.0
20080105:1100,26.34,87.46,11.0,0.0,11.0,420.6,6.86,10.0,100442.0
20080105:1200,25.98,87.07,0.0,-0.0,0.0,423.22,6.69,12.0,100525.0
20080105:1300,25.62,86.67,0.0,-0.0,0.0,425.83,6.51,13.0,100608.0
20080105:1400,25.25,86.28,0.0,-0.0,0.0,428.45,6.34,15.0,100691.0
20080105:1500,25.21,85.79,0.0,-0.0,0.0,428.13,6.26,11.0,100648.0
20080105:1600,25.16,85.29,0.0,-0.0,0.0,427.82,6.18,6.0,100605.0
20080105:1700,25.12,84.8,0.0,-0.0,0.0,427.5,6.1,1.0,100562.0
20080105:1800,25.03,85.23,0.0,-0.0,0.0,427.08,5.95,357.0,100492.0
20080105:1900,24.95,85.67,0.0,-0.0,0.0,426.67,5.81,354.0,100423.0
20080105:2000,24.87,86.1,0.0,-0.0,0.0,426.25,5.67,350.0,100353.0
