Latitude (decimal degrees): -54.807
Longitude (decimal degrees): -68.310
Elevation (m): 14.0
month,year
12,005
22,005
32,006
42,005
52,005
62,005
72,010
82,007
92,007
102,009
112,007
122,009
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20050101:0000,0.0,0.0,124.4,582.11,48.3,0.0,0.0,0.0,99125.0
20050101:0100,0.0,0.0,19.15,0.0,19.15,0.0,0.0,0.0,99155.0
20050101:0200,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,99235.0
20050101:0300,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,99265.0
20050101:0400,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,99275.0
20050101:0500,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,99335.0
20050101:0600,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,99365.0
20050101:0700,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,99425.0
20050101:0800,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,99485.0
20050101:0900,0.0,0.0,26.1,141.28,11.65,0.0,0.0,0.0,99565.0
20050101:1000,0.0,0.0,130.65,368.37,44.1,0.0,0.0,0.0,99684.0
20050101:1100,0.0,0.0,271.65,551.86,65.6,0.0,0.0,0.0,99704.0
20050101:1200,0.0,0.0,373.9,503.22,118.2,0.0,0.0,0.0,99754.0
20050101:1300,0.0,0.0,558.4,718.56,105.7,0.0,0.0,0.0,99764.0
20050101:1400,0.0,0.0,549.0,522.08,167.5,0.0,0.0,0.0,99774.0
20050101:1500,0.0,0.0,553.55,381.36,247.15,0.0,0.0,0.0,99744.0
20050101:1600,0.0,0.0,531.9,288.62,288.55,0.0,0.0,0.0,99744.0
20050101:1700,0.0,0.0,451.6,187.57,292.7,0.0,0.0,0.0,99804.0
20050101:1800,0.0,0.0,420.75,116.96,325.4,0.0,0.0,0.0,99784.0
20050101:1900,0.0,0.0,357.65,132.82,258.1,0.0,0.0,0.0,99854.0
20050101:2000,0.0,0.0,342.4,119.49,264.2,0.0,0.0,0.0,99944.0
20050101:2100,0.0,0.0,224.5,80.51,181.3,0.0,0.0,0.0,100014.0
20050101:2200,0.0,0.0,364.65,594.69,124.45,0.0,0.0,0.0,100024.0
20050101:2300,0.0,0.0,191.7,295.13,113.35,0.0,0.0,0.0,100064.0
20050102:0000,0.0,0.0,116.65,446.91,58.35,0.0,0.0,0.0,100114.0
20050102:0100,0.0,0.0,15.4,0.0,15.4,0.0,0.0,0.0,100194.0
20050102:0200,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,100263.0
20050102:0300,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,100323.0
20050102:0400,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,100313.0
20050102:0500,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,100373.0
20050102:0600,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,100343.0
20050102:0700,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,100373.0
20050102:0800,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,100373.0
20050102:0900,0.0,0.0,13.95,37.97,10.15,0.0,0.0,0.0,100423.0
20050102:1000,0.0,0.0,61.55,25.13,55.7,0.0,0.0,0.0,100453.0
20050102:1100,0.0,0.0,133.1,96.03,97.45,0.0,0.0,0.0,100473.0
20050102:1200,0.0,0.0,212.45,78.44,172.75,0.0,0.0,0.0,100463.0
20050102:1300,0.0,0.0,279.55,196.82,155.9,0.0,0.0,0.0,100453.0
20050102:1400,0.0,0.0,379.4,194.25,237.75,0.0,0.0,0.0,100423.0
20050102:1500,0.0,0.0,411.4,174.4,271.5,0.0,0.0,0.0,100423.0
20050102:1600,0.0,0.0,435.95,126.52,329.4,0.0,0.0,0.0,100433.0
20050102:1700,0.0,0.0,445.05,106.62,354.8,0.0,0.0,0.0,100413.0
20050102:1800,0.0,0.0,494.0,195.02,335.1,0.0,0.0,0.0,100403.0
20050102:1900,0.0,0.0,617.45,439.11,288.45,0.0,0.0,0.0,100383.0
20050102:2000,0.0,0.0,615.9,682.38,169.4,0.0,0.0,0.0,100403.0
20050102:2100,0.0,0.0,395.25,388.89,186.6,0.0,0.0,0.0,100453.0
20050102:2200,0.0,0.0,322.8,461.43,136.45,0.0,0.0,0.0,100543.0
20050102:2300,0.0,0.0,256.5,717.55,66.1,0.0,0.0,0.0,100553.0
20050103:0000,0.0,0.0,116.3,365.23,68.8,0.0,0.0,0.0,100603.0
20050103:0100,0.0,0.0,24.6,0.0,24.6,0.0,0.0,0.0,100673.0
20050103:0200,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,100713.0
20050103:0300,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,100793.0
20050103:0400,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,100793.0
20050103:0500,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,100783.0
20050103:0600,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,100783.0
20050103:0700,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,100773.0
20050103:0800,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,100763.0
20050103:0900,0.0,0.0,17.6,27.11,14.95,0.0,0.0,0.0,100763.0
20050103:1000,0.0,0.0,86.25,77.89,68.3,0.0,0.0,0.0,100832.0
20050103:1100,0.0,0.0,191.5,181.41,124.55,0.0,0.0,0.0,100803.0
20050103:1200,0.0,0.0,261.25,196.09,162.4,0.0,0.0,0.0,100763.0
20050103:1300,0.0,0.0,499.0,545.58,157.25,0.0,0.0,0.0,100663.0
20050103:1400,0.0,0.0,608.25,468.3,267.5,0.0,0.0,0.0,100593.0
20050103:1500,0.0,0.0,746.4,647.17,228.1,0.0,0.0,0.0,100533.0
20050103:1600,0.0,0.0,866.0,806.1,187.95,0.0,0.0,0.0,100473.0
20050103:1700,0.0,0.0,918.95,945.83,119.05,0.0,0.0,0.0,100413.0
20050103:1800,0.0,0.0,841.55,804.3,186.65,0.0,0.0,0.0,100363.0
20050103:1900,0.0,0.0,849.5,1008.81,94.0,0.0,0.0,0.0,100323.0
20050103:2000,0.0,0.0,687.7,859.31,125.6,0.0,0.0,0.0,100283.0
20050103:2100,0.0,0.0,516.35,774.35,101.0,0.0,0.0,0.0,100253.0
20050103:2200,0.0,0.0,266.65,345.68,127.1,0.0,0.0,0.0,100194.0
20050103:2300,0.0,0.0,180.75,402.86,73.95,0.0,0.0,0.0,100174.0
20050104:0000,0.0,0.0,83.7,327.32,41.3,0.0,0.0,0.0,100134.0
20050104:0100,0.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,100124.0
20050104:0200,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,100044.0
20050104:0300,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,100024.0
20050104:0400,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,99994.0
20050104:0500,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,99934.0
20050104:0600,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,99834.0
20050104:0700,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,99744.0
20050104:0800,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,99664.0
20050104:0900,0.0,0.0,7.8,5.24,7.3,0.0,0.0,0.0,99634.0
20050104:1000,0.0,0.0,24.05,6.8,22.5,0.0,0.0,0.0,99565.0
20050104:1100,0.0,0.0,35.05,0.82,34.75,0.0,0.0,0.0,99505.0
20050104:1200,0.0,0.0,58.75,0.7,58.4,0.0,0.0,0.0,99445.0
