Latitude (decimal degrees): 49.333
Longitude (decimal degrees): -123.048
Elevation (m): 159.0
month,year
12,010
22,009
32,009
42,012
52,010
62,014
72,012
82,015
92,010
102,013
112,009
122,011
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20100101:0000,2.9,88.52,1.0,0.0,1.0,302.66,2.6,106.0,98957.0
20100101:0100,3.0,90.25,0.0,-0.0,0.0,307.66,2.68,107.0,98980.0
20100101:0200,3.1,91.97,0.0,-0.0,0.0,312.65,2.76,109.0,99003.0
20100101:0300,3.2,93.7,0.0,-0.0,0.0,317.65,2.84,109.0,99006.0
20100101:0400,3.29,95.42,0.0,-0.0,0.0,322.65,2.92,110.0,99009.0
20100101:0500,3.39,97.15,0.0,-0.0,0.0,327.64,3.01,111.0,99012.0
20100101:0600,3.49,98.87,0.0,-0.0,0.0,332.64,3.09,114.0,98993.0
20100101:0700,3.59,100.0,0.0,-0.0,0.0,337.64,3.17,117.0,98973.0
20100101:0800,4.47,100.0,0.0,-0.0,0.0,327.55,3.05,120.0,98954.0
20100101:0900,5.0,100.0,0.0,-0.0,0.0,329.57,3.19,130.0,98904.0
20100101:1000,5.54,100.0,0.0,-0.0,0.0,331.58,3.32,140.0,98855.0
20100101:1100,6.08,100.0,0.0,-0.0,0.0,333.6,3.46,150.0,98806.0
20100101:1200,6.13,100.0,0.0,-0.0,0.0,333.6,3.71,149.0,98711.0
20100101:1300,6.17,100.0,0.0,-0.0,0.0,333.6,3.96,149.0,98617.0
20100101:1400,6.22,100.0,0.0,-0.0,0.0,333.6,4.21,148.0,98522.0
20100101:1500,6.72,99.34,0.0,-0.0,0.0,332.42,4.94,152.0,98479.0
20100101:1600,7.22,98.69,0.0,-0.0,0.0,331.23,5.68,155.0,98437.0
20100101:1700,7.71,98.03,3.0,0.0,3.0,330.05,6.41,159.0,98394.0
20100101:1800,8.08,98.14,8.0,0.0,8.0,331.63,6.38,165.0,98437.0
20100101:1900,8.45,98.24,9.0,0.0,9.0,333.22,6.35,171.0,98479.0
20100101:2000,8.81,98.35,4.0,0.0,4.0,334.8,6.32,177.0,98522.0
20100101:2100,8.27,98.21,4.0,0.0,4.0,337.1,5.8,181.0,98535.0
20100101:2200,7.73,98.08,6.0,0.0,6.0,339.4,5.28,185.0,98548.0
20100101:2300,7.19,97.94,10.0,0.0,10.0,341.7,4.76,189.0,98561.0
20100102:0000,6.53,97.63,2.0,0.0,2.0,342.3,4.35,193.0,98662.0
20100102:0100,5.88,97.31,0.0,-0.0,0.0,342.9,3.95,197.0,98764.0
20100102:0200,5.23,97.0,0.0,-0.0,0.0,343.5,3.54,201.0,98865.0
20100102:0300,5.01,96.62,0.0,-0.0,0.0,342.75,3.29,206.0,98963.0
20100102:0400,4.78,96.25,0.0,-0.0,0.0,342.0,3.03,211.0,99061.0
20100102:0500,4.56,95.87,0.0,-0.0,0.0,341.25,2.77,216.0,99160.0
20100102:0600,4.5,96.42,0.0,-0.0,0.0,340.83,2.34,216.0,99268.0
20100102:0700,4.43,96.97,0.0,-0.0,0.0,340.42,1.92,217.0,99375.0
20100102:0800,4.37,97.52,0.0,-0.0,0.0,340.0,1.49,217.0,99483.0
20100102:0900,4.51,97.79,0.0,-0.0,0.0,340.03,1.46,219.0,99578.0
20100102:1000,4.65,98.07,0.0,-0.0,0.0,340.07,1.43,221.0,99673.0
20100102:1100,4.8,98.34,0.0,-0.0,0.0,340.1,1.39,223.0,99768.0
20100102:1200,4.75,98.57,0.0,-0.0,0.0,338.6,1.45,212.0,99820.0
20100102:1300,4.7,98.79,0.0,-0.0,0.0,337.1,1.51,201.0,99873.0
20100102:1400,4.65,99.02,0.0,-0.0,0.0,335.6,1.57,190.0,99925.0
20100102:1500,5.27,99.09,0.0,-0.0,0.0,336.82,1.84,185.0,99987.0
20100102:1600,5.89,99.16,0.0,-0.0,0.0,338.03,2.11,180.0,100049.0
20100102:1700,6.5,99.23,3.0,0.0,3.0,339.25,2.37,175.0,100111.0
20100102:1800,6.94,99.22,26.0,0.0,26.0,339.2,2.67,177.0,100157.0
20100102:1900,7.38,99.22,54.0,0.0,54.0,339.15,2.97,179.0,100203.0
20100102:2000,7.81,99.21,50.0,0.0,50.0,339.1,3.27,180.0,100249.0
20100102:2100,7.3,98.98,40.0,0.0,40.0,338.7,3.03,182.0,100278.0
20100102:2200,6.78,98.74,10.0,0.0,10.0,338.3,2.8,184.0,100308.0
20100102:2300,6.27,98.51,4.0,0.0,4.0,337.9,2.57,186.0,100337.0
20100103:0000,5.63,98.01,24.0,140.74,18.0,335.63,2.4,185.0,100393.0
20100103:0100,4.99,97.52,0.0,-0.0,0.0,333.37,2.23,185.0,100448.0
20100103:0200,4.35,97.02,0.0,-0.0,0.0,331.1,2.06,185.0,100504.0
