time,F1RAD
0.1,0
0.199999,0
0.299998,0
0.399997,0
0.499995,0
0.599994,0
0.699993,0
0.799992,0
0.899991,0
0.99999,0
1.09999,0
1.19999,0
1.29999,0
1.39999,0
1.49998,0
1.59998,0
1.69998,0
1.79998,0
1.89998,0
1.99998,0
2.09998,0
2.19998,0
2.29997,0
2.39997,0
2.49997,0
2.59997,0
2.69997,0
2.79997,0
2.89997,0
2.99997,0
3.09997,0
3.19996,0
3.29996,0
3.39996,0
3.49996,0
3.59996,0
3.69996,0
3.79996,0
3.89996,0
3.99996,0
4.09995,0
4.19995,0
4.29995,0
4.39995,0
4.49995,0
4.59995,0
4.69995,0
4.79995,0
4.89995,0
4.99994,0
5.09994,0
5.19994,0
5.29994,0
5.39994,0
5.49994,0
5.59994,0
5.69994,0
5.79993,0
5.89993,0
5.99993,0
6.09993,0
6.19993,0
6.29993,0
6.39993,0
6.49993,0
6.59993,0
6.69992,0
6.79992,0
6.89992,0
6.99992,0
7.09992,0
7.19992,0
7.29992,0
7.39992,7.98281
7.49992,21.5548
7.59991,35.1022
7.69991,48.6098
7.79991,62.0621
7.89991,75.4438
7.99991,88.7399
8.09991,106.096
8.19991,119.709
8.29991,133.186
8.39991,146.512
8.4999,159.671
8.5999,172.649
8.6999,185.43
8.7999,198.001
8.8999,210.347
8.9999,222.453
9.0999,242.561
9.1999,254.556
9.29989,266.262
9.39989,277.666
9.49989,288.754
9.59989,299.514
9.69989,309.933
9.79989,320
9.89989,329.703
9.99989,339.032
10.0999,327.245
10.1999,335.283
10.2999,342.94
10.3999,350.208
10.4999,357.077
10.5999,363.541
10.6999,369.591
10.7999,375.222
10.8999,380.425
10.9999,385.197
11.0999,398.366
11.1999,402.345
11.2999,405.867
11.3999,408.927
11.4999,411.523
11.5999,413.651
11.6999,415.308
11.7999,416.494
11.8999,417.206
11.9999,417.444
12.0999,396.079
12.1999,395.405
12.2999,394.28
12.3999,392.708
12.4999,390.689
12.5999,388.226
12.6999,385.322
12.7999,381.98
12.8999,378.204
12.9999,373.997
13.0999,408.057
13.1999,402.476
13.2998,396.439
13.3998,389.95
13.4998,383.019
13.5998,375.652
